Point_Index,Method_47_Success_Rate,Method_47_Time_ms,Method_45_Success_Rate,Method_45_Time_ms,Method_Auto_Success_Rate,Method_Auto_Time_ms
1,45.78,64,31.74,45,70.4,87
2,52.07,58,98.68,90,99,89
3,71.79,87,44.63,65,85.37,103
4,43.74,69,68.3,92,76.76,108
5,49.71,51,60.45,67,64.35,70
6,65.59,61,86,78,99,123
7,36,46,43.31,54,50.35,63
8,45.19,73,51.19,76,64.78,99
9,61.69,83,73.5,95,89.1,114
10,75.14,89,39.11,48,86.83,96
11,70.18,82,80.42,105,99,120
12,90.52,118,41.52,60,99,127
13,56.34,53,95.58,90,98.88,93
14,55.6,55,73.34,67,91.6,78
15,55.89,62,76.02,83,81.18,90
16,78.39,99,67.4,95,99,122
17,49.65,48,74.02,65,80.56,74
18,48.12,48,63.85,71,82.13,71
19,64.54,75,88.1,96,99,97
20,73.09,88,76.26,99,99,122
21,52.16,64,93.32,81,97.8,85
22,0.62,40,10.62,42,10.96,60
23,37.33,68,61.89,80,77.68,100
24,52.35,57,98.94,83,99,82
25,17.06,56,40.59,68,40.59,85
26,60.08,67,30.18,42,64.18,74
27,39.05,60,67.42,64,71.28,72
28,36.43,45,43.57,50,52.25,63
29,55.37,65,97.04,99,99,105
30,58.97,68,94.1,101,99,107
31,49.14,48,70.16,63,71.1,65
32,50.25,53,75.87,73,81.25,77
33,77.94,101,68.1,87,99,117
34,37.68,50,16.13,31,38.46,54
35,54.33,85,62.11,92,83.52,139
36,43.23,43,55.55,54,55.85,55
37,8.3,33,3.38,34,9.6,51
38,54.36,51,94.18,74,96.46,77
39,4.08,33,25.66,49,27.14,63
40,72.45,91,77.46,95,99,114
41,51.1,53,95.2,82,95.5,83
42,37.14,40,51.66,66,69.64,67
43,54.45,59,22.82,34,70.32,71
44,41.11,50,38.83,51,57.43,72
45,64.89,73,87.58,103,99,111
46,94.64,105,29.1,42,99,114
47,94.17,127,30.84,53,99,132
48,86.4,78,50.18,53,98.78,88
49,52.35,47,82.66,66,87.16,67
50,9,37,35.54,56,41.52,71
51,48.61,55,63.48,67,78.98,85
52,61.17,70,89.96,103,99,116
53,40.97,51,38.02,51,60.72,73
54,20.12,48,49.22,74,58.92,99
55,45.4,61,67.81,77,83.31,92
56,36.12,47,28.41,63,41.47,63
57,0.99,31,0.96,29,1.77,46
58,75.27,94,72.88,94,99,115
59,70.17,66,68.72,65,93.5,87
60,4.82,36,23.77,57,26.29,78
61,19.17,39,7.19,28,19.43,51
62,64.82,63,44.93,53,91.7,83
63,70,60,77.26,66,96.78,79
64,58.52,63,94.18,100,99,107
65,53.03,47,65.87,59,79.49,70
66,76.26,76,53.44,59,97.78,93
67,35.38,44,21.05,37,54.07,71
68,73.56,67,60.7,58,96.02,89
69,40.71,51,39.02,52,62.04,73
70,73.36,94,45.27,63,87.17,112
71,54.46,45,97.62,73,99,76
72,7.79,35,6.28,34,12.83,51
73,57.49,48,92.06,71,96.84,73
74,66.91,68,45.02,58,88.44,85
75,79.97,69,59.56,59,97.4,82
76,38.3,52,69.65,85,72.27,91
77,64.81,73,87.64,101,99,109
78,3.61,30,10.72,39,10.72,50
79,70.99,61,78.88,64,98.7,77
80,52.44,52,98.68,86,99,88
81,25.16,42,25.47,49,48.23,78
82,40.7,59,17.54,38,52.2,75
83,46.6,50,55.07,62,73.91,77
84,48.52,50,63.32,65,79.82,81
85,44.77,58,37.52,48,68.29,88
86,32.98,56,64.59,94,74.66,115
87,55.65,68,93.56,86,97.98,86
88,45.39,43,56.09,54,69.09,75
89,70.61,83,80.28,100,99,114
90,67.91,69,82.72,89,98.64,103
91,56.09,62,96.18,102,99,103
92,39.38,52,16.4,35,52.66,70
93,40.05,50,84.13,94,84.15,100
94,13.04,35,9.19,35,16.83,54
95,81.84,83,56.82,65,97.56,100
96,1.84,31,21.29,54,21.91,71
97,32.89,47,30.25,49,34.65,60
98,57.99,72,13.6,29,58.93,80
99,57.99,55,39.05,65,59.83,65
100,53.12,45,96.88,77,98.48,77
101,55.55,56,97.04,96,99,98
102,52.97,57,98.52,93,99,96
103,16.66,44,50.75,74,58.45,91
104,21.02,36,17.53,38,28.79,56
105,91.15,98,27,44,95.82,106
106,52.42,45,93.9,73,97.22,79
107,11.58,41,32.67,59,32.67,77
108,69.99,72,79.14,77,99,91
109,49.77,43,76.27,64,76.81,64
110,81.54,102,61.5,87,99,126
111,62.83,72,28.87,40,74.19,89
112,38.23,47,32.9,50,47.28,63
113,59.33,64,93.16,104,99,108
114,27.78,41,44.63,59,69.09,83
115,51.42,52,95.64,86,96,82
116,55.26,49,96.56,79,99,97
117,78.6,80,66.4,72,98.96,102
118,37.48,40,46.21,52,50.55,58
119,6.58,32,3.27,27,9.85,48
120,36.47,46,80.19,88,80.19,95
121,50.43,53,79.77,74,80.93,76
122,51.31,56,61.71,60,84.63,78
123,88.92,122,44.76,63,99,127
124,78.15,91,45.16,63,90.48,104
125,40.15,55,36.57,49,55.63,68
126,10.43,39,29.96,55,40.37,77
127,65.42,67,86.34,92,98.98,103
128,65.34,72,86.92,100,99,111
129,47.13,52,90.54,95,91.08,96
130,48.98,50,68.87,68,72.17,78
131,12.36,37,2.66,28,14.88,53
132,26.94,61,56.98,90,57.42,96
133,50.06,51,91.2,89,99,94
134,44.1,52,45.85,60,53.41,71
135,52.24,50,96.84,82,98.9,85
136,21.47,41,33.46,49,50.19,69
137,92.09,97,32.7,42,97.72,100
138,42.17,45,31.07,46,44.21,59
139,61.57,79,52.44,70,82.59,102
140,25.72,53,52.68,82,53.46,96
141,39.83,60,26.37,39,46.53,74
142,72.1,71,55.64,55,92.64,84
143,16.5,38,48.35,67,54.73,79
144,41.67,47,84.32,79,95.62,91
145,43.07,45,44.03,51,61.21,66
146,51.38,54,85.33,76,94.79,83
147,89.36,110,39.18,57,97.58,120
148,2.54,34,0.38,32,2.62,49
149,56.69,58,96,100,99,106
150,51.71,45,95.98,72,96.32,72
151,50.13,44,92.12,71,93.28,72
152,38.03,42,37.34,45,55.06,64
153,45.03,48,45.5,51,55.32,57
154,61.01,68,92.04,102,99,109
155,52.15,47,96.46,74,97.44,75
156,1.96,49,18.58,52,19.4,67
157,58.73,57,94.16,91,99,96
158,89.49,91,40.56,47,98.24,95
159,20.01,45,55.98,88,62.63,98
160,51.2,45,93.5,73,99,79
161,80.84,104,62.52,83,98.94,129
162,65.24,74,86.76,100,99,119
163,51.83,50,98.98,84,99,102
164,16.36,43,33.12,50,33.66,67
165,63.95,88,42.42,64,75.24,104
