#r11,r12,r13,r14,r21,r22,r23,r24,r31,r32,r33,r34,r41,r42,r43,r44
-0.0503386,-0.987506,0.149327,941.953,-0.1115,-0.143025,-0.983418,-853.392,0.992489,-0.0661538,-0.102907,-1625.62,0,0,0,1
-0.0285657,-0.943247,0.330863,935.942,-0.118955,-0.325438,-0.938051,-860.376,0.992489,-0.0661538,-0.102907,-1642.55,0,0,0,1
-0.0406489,-0.971716,0.232628,958.307,-0.115386,-0.226697,-0.967106,-874.125,0.992489,-0.0661538,-0.102907,-1635.48,0,0,0,1
-0.133035,-0.964928,0.226309,961.501,0.152808,-0.245578,-0.957257,-879.261,0.979261,-0.0927671,0.180119,-1679.08,0,0,0,1
-0.277433,-0.959316,0.0523828,964.775,-0.280071,0.0286005,-0.959553,-856.425,0.919016,-0.280883,-0.276612,-1698.94,0,0,0,1
0.541053,-0.795363,0.273239,912.105,-0.0490337,-0.354184,-0.93389,-872.943,0.839558,0.491886,-0.230632,-1636.64,0,0,0,1
0.496751,-0.802848,0.329656,908.567,-0.0419944,-0.401625,-0.914841,-895.436,0.866877,0.440605,-0.233223,-1653.78,0,0,0,1
0.586226,-0.783059,0.207744,915.609,0.146618,-0.149647,-0.977808,-915.311,0.79677,0.603676,0.0270838,-1667.98,0,0,0,1
0.583558,-0.780306,0.224906,923.12,0.156904,-0.163393,-0.974004,-916.712,0.79677,0.603676,0.0270838,-1658.92,0,0,0,1
0.588969,-0.774668,0.230226,926.607,0.0628846,-0.240085,-0.968713,-901.472,0.805705,0.58502,-0.0926878,-1660.96,0,0,0,1
0.917991,-0.194098,0.345858,884.816,0.290148,-0.265842,-0.919316,-896.603,0.270382,0.944274,-0.187723,-1683.81,0,0,0,1
0.91981,-0.220708,0.324402,859.189,0.263442,-0.265316,-0.927473,-874.813,0.29077,0.93856,-0.185896,-1678.05,0,0,0,1
0.949407,0.0252308,0.313034,853.495,0.304765,-0.3146,-0.898969,-876.065,0.0757987,0.948889,-0.306373,-1661.07,0,0,0,1
0.25281,0.967514,0.00174729,923.089,-0.0427969,0.0129869,-0.998999,-835.891,-0.966569,0.252482,0.0446898,-1459.62,0,0,0,1
0.774889,0.596461,0.20924,869.817,0.117595,0.189212,-0.974869,-868.366,-0.621062,0.780021,0.0764776,-1510.65,0,0,0,1
