SourceX,SourceY,SourceZ,qx,qy,qz,qw
0.583725284,-1.187230203,1.498531668,0.480701,0.552624,0.524998,0.433486
0.568130205,-1.176129201,1.501123387,0.480705,0.552621,0.525002,0.433481
0.518682198,-1.165475986,1.506173367,0.480877,0.552471,0.525137,0.433318
0.488546348,-1.157645749,1.508603511,0.480877,0.552471,0.525137,0.433318
0.457841811,-1.143149172,1.510937849,0.480877,0.552471,0.525137,0.433318
0.428963851,-1.119919751,1.513159354,0.480997,0.552367,0.525231,0.433204
0.385258507,-1.048885877,1.517226538,0.481112,0.552267,0.525321,0.433095
0.373640675,-1.006450041,1.51903942,0.481169,0.552217,0.525366,0.43304
0.369981821,-0.964805231,1.520689147,0.481169,0.552217,0.525366,0.43304
0.374261743,-0.928020717,1.522160782,0.481284,0.552116,0.525456,0.432931
0.403076526,-0.879145847,1.524558995,0.481403,0.552013,0.525549,0.432818
0.424348378,-0.867415947,1.5254749,0.481399,0.552016,0.525546,0.432822
0.447309909,-0.861185791,1.526191472,0.481461,0.551962,0.525594,0.432763
0.469572997,-0.856520575,1.526713296,0.481575,0.551862,0.525684,0.432654
0.502919151,-0.835346544,1.527186002,0.481633,0.551812,0.525729,0.432599
0.510330326,-0.812937514,1.527140949,0.48169,0.551762,0.525774,0.432544
0.510022277,-0.781626506,1.526919187,0.481752,0.551708,0.525823,0.432485
0.501680933,-0.743147245,1.526529928,0.481805,0.551662,0.525864,0.432435
0.463156618,-0.658961361,1.525289264,0.481924,0.551558,0.525958,0.432321
0.435727179,-0.621595842,1.524469443,0.481981,0.551508,0.526003,0.432267
0.405510988,-0.591859105,1.523535027,0.481981,0.551508,0.526003,0.432267
0.374861026,-0.571129075,1.522497598,0.482094,0.551409,0.526091,0.432159
0.321656802,-0.552161441,1.520204987,0.482212,0.551306,0.526183,0.432047
0.303158276,-0.547537694,1.5189874,0.482216,0.551302,0.526187,0.432042
0.291989721,-0.540565093,1.517741613,0.482272,0.551253,0.526231,0.431989
0.288798093,-0.527472766,1.516492517,0.48233,0.551203,0.526276,0.431934
0.305396091,-0.475329182,1.514069178,0.482387,0.551153,0.526321,0.431879
0.323011676,-0.437377143,1.512924335,0.482506,0.551049,0.526414,0.431766
0.344455308,-0.395260384,1.511859591,0.482616,0.550952,0.5265,0.43166
0.367456242,-0.353154838,1.510893277,0.482563,0.550999,0.526459,0.431711
0.40862867,-0.284725225,1.509294677,0.482735,0.550848,0.526593,0.431547
0.422426856,-0.263181186,1.50870395,0.482735,0.550848,0.526593,0.431547
0.429440936,-0.25012808,1.508264458,0.48285,0.550748,0.526683,0.431437
0.428699113,-0.243173162,1.507998485,0.482854,0.550744,0.526687,0.431433
0.403554556,-0.231947929,1.508007959,0.482969,0.550643,0.526776,0.431323
0.38070786,-0.219528871,1.508299398,0.483083,0.550543,0.526866,0.431214
0.353078339,-0.198752212,1.50879618,0.483083,0.550543,0.526866,0.431214
0.322789255,-0.168970809,1.509491535,0.483083,0.550543,0.526866,0.431214
0.263707405,-0.089667304,1.511495948,0.483289,0.550362,0.527027,0.431017
0.238263088,-0.03986784,1.513071515,0.483289,0.550362,0.527027,0.431017
