Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,500,0,0,-1.5707963,0,0
1,0,300,500,0,0,-1.5707963,0,0
2,400,0,500,0,0,-1.5707963,0,0
3,0,0,800,0,0,-1.5707963,0,0
4,1872.08,340.306,628.888,4.60936,-0.274922,-1.48374,1.53144,-0.253192
5,1840.04,344.104,606.55,4.60955,-0.274922,-1.48369,1.53126,-0.253192
6,1728.37,13.1904,586.385,5.25115,-0.234614,-1.28813,0.914112,-0.331945
7,1720.54,26.7976,604.405,5.25115,-0.234614,-1.28813,0.914112,-0.331945
8,1715.8,40.784,631.216,5.25115,-0.234614,-1.28813,0.914112,-0.331945
9,1709.51,52.9341,660.1,5.25241,-0.234614,-1.28757,0.912932,-0.331945
10,1678.93,68.5212,696.42,5.25362,-0.234614,-1.28704,0.911804,-0.331945
11,1650.58,69.497,694.653,5.25422,-0.234614,-1.28677,0.911241,-0.331945
12,1614.4,65.4612,678.795,5.25422,-0.234614,-1.28677,0.911241,-0.331945
13,1572.68,55.5418,652.573,5.25543,-0.234614,-1.28624,0.910112,-0.331945
14,1490.32,22.7767,595.059,5.25667,-0.234614,-1.28568,0.908956,-0.331945
15,1457.56,2.14762,577.523,5.25663,-0.234614,-1.2857,0.908992,-0.331945
16,1510.62,316.401,588.627,4.64066,-0.274922,-1.4751,1.50145,-0.253192
17,1495.58,292.566,599.399,4.64513,-0.274922,-1.47385,1.49717,-0.253192
18,1482.52,256.142,650.437,4.64735,-0.274922,-1.47323,1.49503,-0.253192
19,1476.96,243.488,677.875,4.64956,-0.274922,-1.47262,1.49292,-0.253192
20,1466.55,235.887,697.315,4.65193,-0.274922,-1.47196,1.49065,-0.253192
21,1448.28,233.86,703.828,4.65392,-0.274922,-1.4714,1.48874,-0.253192
22,1385.5,244.08,674.603,4.65841,-0.274922,-1.47015,1.48444,-0.253192
23,1344.52,254.705,645.668,4.66053,-0.274922,-1.46955,1.48241,-0.253192
24,1301.9,268.391,615.754,4.66053,-0.274922,-1.46955,1.48241,-0.253192
25,1262.13,280.005,592.011,4.66471,-0.274922,-1.46838,1.47842,-0.253192
26,1203.88,300.136,582.675,4.669,-0.274922,-1.46718,1.47431,-0.253192
27,1187.92,305.914,599.006,4.66917,-0.274922,-1.46713,1.47414,-0.253192
28,1179.18,305.765,624.891,4.67119,-0.274922,-1.46656,1.47221,-0.253192
29,1174.24,300.271,653.803,4.67326,-0.274922,-1.46598,1.47023,-0.253192
30,1158.98,275.146,692.692,4.67531,-0.274922,-1.4654,1.46827,-0.253192
31,1141.51,254.569,692.786,4.67952,-0.274922,-1.46421,1.46424,-0.253192
32,1115.02,231.639,678.538,4.68339,-0.274922,-1.46312,1.46054,-0.253192
33,1080.09,210.908,653.247,4.68153,-0.274922,-1.46364,1.46231,-0.253192
34,996.825,167.192,594.806,4.6875,-0.274922,-1.46195,1.4566,-0.253192
35,956.526,151.551,575.572,4.6875,-0.274922,-1.46195,1.4566,-0.253192
36,922.394,138.202,569.748,4.69144,-0.274922,-1.46084,1.45283,-0.253192
37,896.713,132.17,578.559,4.69159,-0.274922,-1.46079,1.45269,-0.253192
38,870.709,133.85,627.679,4.69549,-0.274922,-1.45968,1.44896,-0.253192
39,865.579,140.473,655.569,4.69933,-0.274922,-1.45859,1.44529,-0.253192
40,860.403,152.46,676.292,4.69933,-0.274922,-1.45859,1.44529,-0.253192
41,851.041,166.219,684.583,4.69933,-0.274922,-1.45859,1.44529,-0.253192
42,808.559,188.88,658.525,4.70615,-0.274922,-1.45664,1.43876,-0.253192
43,766.812,197.352,629.88,4.70615,-0.274922,-1.45664,1.43876,-0.253192
