Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,500,0,0,-1.5707963,0,0
1,0,300,500,0,0,-1.5707963,0,0
2,400,0,500,0,0,-1.5707963,0,0
3,0,0,800,0,0,-1.5707963,0,0
4,1852.16,262.215,615.551,4.83587,-0.135131,-1.4558,1.29634,-0.135929
5,1804.75,253.346,614.321,4.83776,-0.135131,-1.45548,1.29448,-0.135929
6,1757.21,243.567,613.071,4.84125,-0.135131,-1.4549,1.29105,-0.135929
7,1709.66,233.711,611.811,4.84487,-0.135131,-1.45429,1.28748,-0.135929
8,1662.11,223.958,610.526,4.84833,-0.135131,-1.4537,1.28408,-0.135929
9,1614.7,215.205,609.221,4.85005,-0.135131,-1.45341,1.28238,-0.135929
10,1567.14,205.47,607.901,4.85348,-0.135131,-1.45283,1.27901,-0.135929
11,1519.58,195.759,606.561,4.85689,-0.135131,-1.45225,1.27566,-0.135929
12,1471.86,185.029,605.206,4.86208,-0.135131,-1.45137,1.27055,-0.135929
13,1424.44,176.306,603.826,4.86376,-0.135131,-1.45108,1.26889,-0.135929
14,1376.85,166.559,602.431,4.86725,-0.135131,-1.45048,1.26547,-0.135929
15,1329.42,157.858,601.016,4.8689,-0.135131,-1.45019,1.26383,-0.135929
16,1258.05,143.402,598.861,4.87387,-0.135131,-1.44934,1.25895,-0.135929
17,1210.44,133.709,597.401,4.87728,-0.135131,-1.44874,1.2556,-0.135929
18,1162.84,124.076,595.921,4.88059,-0.135131,-1.44816,1.25234,-0.135929
19,1115.26,114.505,594.426,4.88381,-0.135131,-1.4476,1.24917,-0.135929
20,1067.82,105.845,592.906,4.88543,-0.135131,-1.44732,1.24758,-0.135929
21,1019.89,94.4575,591.376,4.89185,-0.135131,-1.44619,1.24127,-0.135929
22,972.426,85.7419,589.821,4.89358,-0.135131,-1.44588,1.23957,-0.135929
23,924.982,77.1173,588.246,4.89515,-0.135131,-1.4456,1.23802,-0.135929
24,877.353,67.516,586.656,4.89845,-0.135131,-1.44502,1.23478,-0.135929
25,829.733,58.0008,585.046,4.9016,-0.135131,-1.44445,1.23168,-0.135929
26,782.111,48.5088,583.416,4.90473,-0.135131,-1.44389,1.22861,-0.135929
27,734.295,38.0734,581.776,4.90952,-0.135131,-1.44303,1.2239,-0.135929
28,679.409,28.6704,579.836,4.91032,-0.135131,-1.44289,1.22311,-0.135929
