Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,500,0,0,-1.5707963,1.5707963,0
1,0,300,500,0,0,-1.5707963,1.5707963,0
2,400,0,500,0,0,-1.5707963,1.5707963,0
3,0,0,800,0,0,-1.5707963,1.5707963,0
4,556.068,426.926,494.366,1.73745,0.00312702,-1.18645,0.0496924,-0.383775
5,554.937,447.611,493.392,1.72856,0.00312702,-1.18645,0.0496957,-0.383775
6,553.966,468.975,527.059,1.72052,0.00312702,-1.18645,0.0496912,-0.383775
7,552.954,489.799,569.56,1.7117,0.00312702,-1.18645,0.0496931,-0.383775
8,552.006,510.713,586.729,1.70296,0.00312702,-1.18645,0.0496928,-0.383775
9,551.144,531.869,567.478,1.6945,0.00312702,-1.18645,0.049694,-0.383775
10,550.28,552.638,533.999,1.68546,0.00312702,-1.18645,0.0496912,-0.383775
11,549.562,574.172,521.327,1.67742,0.00312702,-1.18645,0.0496919,-0.383775
12,548.839,595.251,545.174,1.66872,0.00312702,-1.18645,0.0496958,-0.383775
13,548.195,616.591,587.443,1.66033,0.00312702,-1.18645,0.0496939,-0.383775
14,547.585,637.763,612.886,1.65168,0.00312702,-1.18645,0.0496925,-0.383775
15,547.024,658.891,601.512,1.64294,0.00312702,-1.18645,0.0496921,-0.383775
16,546.543,680.338,566.954,1.6346,0.00312702,-1.18645,0.0496934,-0.383775
17,546.078,701.287,543.952,1.62555,0.00312702,-1.18645,0.0496909,-0.383775
18,545.705,722.809,556.391,1.61725,0.00312702,-1.18645,0.0496943,-0.383775
19,545.371,744.087,595.365,1.60859,0.00312702,-1.18645,0.0496908,-0.383775
20,545.092,765.39,627.338,1.59993,0.00312702,-1.18645,0.0496921,-0.383775
21,544.869,786.717,625.012,1.5913,0.00312702,-1.18645,0.0496946,-0.383775
22,544.707,808.329,592.382,1.58302,0.00312702,-1.18645,0.0496946,-0.383775
23,544.592,829.669,561.098,1.57436,0.00312702,-1.18645,0.0496916,-0.383775
24,544.531,850.759,561.357,1.56535,0.00312702,-1.18645,0.0496933,-0.383775
25,544.529,872.42,594.121,1.55709,0.00312702,-1.18645,0.0496926,-0.383775
26,544.58,893.803,630.259,1.54845,0.00312702,-1.18645,0.0496929,-0.383775
27,544.687,915.202,637.319,1.53982,0.00312702,-1.18645,0.0496943,-0.383775
28,544.849,936.609,609.357,1.53119,0.00312702,-1.18645,0.049693,-0.383775
29,545.066,958.011,572.412,1.52256,0.00312702,-1.18645,0.0496927,-0.383775
30,545.338,979.422,560.561,1.51393,0.00312702,-1.18645,0.0496935,-0.383775
31,545.666,1000.83,584.59,1.5053,0.00312702,-1.18645,0.0496953,-0.383775
32,546.032,1022.51,622.075,1.49702,0.00312702,-1.18645,0.0496944,-0.383775
33,546.486,1043.65,638.007,1.48804,0.00312702,-1.18645,0.0496911,-0.383775
34,546.981,1065.04,616.964,1.47939,0.00312702,-1.18645,0.0496925,-0.383775
35,547.48,1086.97,577.301,1.47149,0.00312702,-1.18645,0.0496907,-0.383775
36,548.107,1108.08,554.284,1.46248,0.00312702,-1.18645,0.0496904,-0.383775
37,548.794,1129.17,567.64,1.45345,0.00312702,-1.18645,0.0496955,-0.383775
38,549.448,1151.04,603.44,1.44551,0.00312702,-1.18645,0.0496929,-0.383775
39,550.242,1172.16,626.912,1.43656,0.00312702,-1.18645,0.0496925,-0.383775
40,551.069,1193.46,614.379,1.42786,0.00312702,-1.18645,0.0496963,-0.383775
41,551.91,1215.03,575.067,1.41957,0.00312702,-1.18645,0.0496935,-0.383775
42,552.846,1236.3,542.589,1.41088,0.00312702,-1.18645,0.0496923,-0.383775
43,553.842,1257.51,544.067,1.40214,0.00312702,-1.18645,0.0496922,-0.383775
44,554.84,1279.03,575.176,1.39384,0.00312702,-1.18645,0.0496962,-0.383775
45,555.992,1299.93,604.139,1.38474,0.00312702,-1.18645,0.0496953,-0.383775
46,557.108,1321.34,600.925,1.37635,0.00312702,-1.18645,0.0496901,-0.383775
47,558.318,1342.5,564.876,1.36765,0.00312702,-1.18645,0.0496906,-0.383775
48,559.583,1363.62,525.307,1.35896,0.00312702,-1.18645,0.0496917,-0.383775
49,560.867,1384.9,514.537,1.3505,0.00312702,-1.18645,0.0496938,-0.383775
50,562.25,1405.94,538.212,1.34176,0.00312702,-1.18645,0.0496938,-0.383775
51,563.627,1427.2,570.074,1.33337,0.00312702,-1.18645,0.04969,-0.383775
52,565.069,1448.37,576.131,1.3249,0.00312702,-1.18645,0.0496915,-0.383775
53,566.676,1469.06,545.905,1.31581,0.00312702,-1.18645,0.0496954,-0.383775
54,567.353,1493.56,502.041,1.31207,0.00312702,-1.18645,0.049692,-0.383775
