SourceX,SourceY,SourceZ,qx,qy,qz,qw
0.327161819,-1.262529192,1.541973651,-0.710715,0.075881,0.074248,-0.695423
0.398249422,-1.243016924,1.511500483,-0.711046,0.072721,0.071156,-0.695746
0.444769549,-1.234450201,1.495347446,-0.711332,0.069862,0.068359,-0.696027
0.459968843,-1.239821625,1.523454647,-0.711633,0.066726,0.065291,-0.696321
0.448079189,-1.257254805,1.501071468,-0.711918,0.063613,0.062244,-0.6966
0.422787888,-1.280659828,1.477111463,-0.712181,0.060602,0.059298,-0.696857
0.402506046,-1.301860646,1.505618971,-0.712447,0.057381,0.056147,-0.697118
0.403882289,-1.313451205,1.492711353,-0.712672,0.054517,0.053344,-0.697338
0.436026679,-1.311382587,1.462469682,-0.712903,0.051418,0.050312,-0.697563
0.497318301,-1.296377422,1.488741587,-0.713112,0.048427,0.047385,-0.697768
0.575953251,-1.273677444,1.485977242,-0.713315,0.045342,0.044366,-0.697967
0.654089579,-1.251212409,1.451535758,-0.713506,0.042223,0.041314,-0.698154
0.714064998,-1.236830001,1.473170796,-0.713676,0.039248,0.038403,-0.69832
0.744580083,-1.235554408,1.480480589,-0.713846,0.036018,0.035243,-0.698487
0.744627231,-1.247831231,1.44431226,-0.71399,0.033055,0.032344,-0.698627
0.723850898,-1.269371823,1.459325493,-0.714126,0.029964,0.029319,-0.698761
0.69919177,-1.292651436,1.475899346,-0.714249,0.026872,0.026294,-0.698881
0.688927382,-1.30953783,1.440661655,-0.714359,0.023788,0.023277,-0.698988
0.706340267,-1.314132104,1.447667191,-0.714451,0.020832,0.020383,-0.699078
0.755031477,-1.304829343,1.471999413,-0.714534,0.017739,0.017357,-0.69916
0.827694139,-1.284879272,1.440342268,-0.714607,0.014519,0.014207,-0.699231
0.9086477,-1.261251022,1.43863446,-0.714661,0.011567,0.011318,-0.699284
0.979305598,-1.242198623,1.468663287,-0.714704,0.008481,0.008298,-0.699326
1.024702845,-1.234377624,1.443008327,-0.714734,0.005397,0.005281,-0.699355
1.038687215,-1.240520127,1.432637585,-0.714751,0.002313,0.002264,-0.699372
1.026076652,-1.258480377,1.465904423,-0.714754,-0.000771,-0.000754,-0.699375
1.001002728,-1.281984343,1.448247511,-0.714744,-0.003856,-0.003773,-0.699365
0.981924319,-1.302821414,1.430016284,-0.714721,-0.006939,-0.00679,-0.699342
0.98521915,-1.3137126,1.463866556,-0.714686,-0.009897,-0.009684,-0.699308
1.01944258,-1.310853298,1.455618792,-0.714634,-0.013107,-0.012825,-0.699258
1.082357227,-1.295242344,1.431003047,-0.714571,-0.016199,-0.01585,-0.699196
1.161673042,-1.272333092,1.462788056,-0.714501,-0.019022,-0.018612,-0.699128
1.239398588,-1.250128405,1.464672966,-0.714408,-0.022242,-0.021764,-0.699037
1.29807121,-1.236385018,1.435719214,-0.714301,-0.025463,-0.024915,-0.698931
1.326883745,-1.235903891,1.463007134,-0.714194,-0.0283,-0.027691,-0.698827
1.325458034,-1.248853096,1.474998041,-0.71406,-0.031498,-0.03082,-0.698696
1.303977017,-1.270709103,1.44416031,-0.713917,-0.0346,-0.033856,-0.698555
1.279609294,-1.29383698,1.464934508,-0.713767,-0.037562,-0.036754,-0.698409
1.270533137,-1.310157495,1.486261652,-0.713597,-0.040664,-0.039789,-0.698243
1.289576303,-1.313969421,1.456186403,-0.713412,-0.043782,-0.04284,-0.698062
1.339729927,-1.303941143,1.469015685,-0.713225,-0.046741,-0.045735,-0.697878
1.413111886,-1.283575828,1.498207939,-0.713005,-0.049986,-0.04891,-0.697663
1.493715252,-1.259987666,1.471552454,-0.712788,-0.052977,-0.051837,-0.697452
1.56298997,-1.24141668,1.475685467,-0.712551,-0.056076,-0.054869,-0.69722
1.606339437,-1.23435025,1.510706736,-0.712301,-0.059171,-0.057898,-0.696975
1.618219511,-1.241256884,1.489902835,-0.712045,-0.062182,-0.060844,-0.696724
1.604043736,-1.259723895,1.485337525,-0.711766,-0.065296,-0.063891,-0.696451
1.578326992,-1.283300226,1.523758537,-0.711485,-0.068282,-0.066813,-0.696177
1.559600034,-1.303749985,1.510828464,-0.71119,-0.071292,-0.069758,-0.695888
1.563936163,-1.313929483,1.498311841,-0.710859,-0.074524,-0.072921,-0.695563
1.599336358,-1.31028273,1.537469457,-0.710718,-0.075854,-0.074222,-0.695426
