Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,500,0,0,-1.5707963,1.5707963,0
1,0,300,500,0,0,-1.5707963,1.5707963,0
2,400,0,500,0,0,-1.5707963,1.5707963,0
3,0,0,800,0,0,-1.5707963,1.5707963,0
4,612.355,589.38,475.731,2.02901,0.160737,-1.06761,-0.281033,-0.525722
5,607.562,632.359,487.126,2.01208,0.160737,-1.06761,-0.281034,-0.525722
6,602.795,675.014,497.591,1.99452,0.160737,-1.06761,-0.281032,-0.525722
7,597.317,728.959,509.336,1.97329,0.160737,-1.06761,-0.281031,-0.525722
8,593.122,772.1,517.676,1.95617,0.160737,-1.06761,-0.281034,-0.525722
9,589.072,815.133,525.071,1.93878,0.160737,-1.06761,-0.281033,-0.525722
10,585.25,858.271,531.516,1.92147,0.160737,-1.06761,-0.281031,-0.525722
11,581.707,901.69,537.006,1.90451,0.160737,-1.06761,-0.281033,-0.525722
12,578.367,945.136,541.541,1.88755,0.160737,-1.06761,-0.28103,-0.525722
13,574.405,999.16,545.871,1.86592,0.160737,-1.06761,-0.281033,-0.525722
14,571.479,1042.4,548.266,1.84865,0.160737,-1.06761,-0.281033,-0.525722
15,568.767,1085.62,549.701,1.83138,0.160737,-1.06761,-0.281032,-0.525722
16,566.271,1128.82,550.181,1.81413,0.160737,-1.06761,-0.281033,-0.525722
17,563.988,1171.99,549.701,1.79686,0.160737,-1.06761,-0.28103,-0.525722
18,561.921,1215.09,548.266,1.77961,0.160737,-1.06761,-0.281034,-0.525722
19,559.638,1268.87,545.131,1.75801,0.160737,-1.06761,-0.281034,-0.525722
20,558.086,1312.04,541.541,1.74107,0.160737,-1.06761,-0.281033,-0.525722
21,556.712,1354.83,537.006,1.72373,0.160737,-1.06761,-0.281035,-0.525722
22,555.557,1397.49,531.516,1.70637,0.160737,-1.06761,-0.281032,-0.525722
23,554.641,1440.32,525.071,1.68942,0.160737,-1.06761,-0.281033,-0.525722
24,553.933,1482.98,517.676,1.67239,0.160737,-1.06761,-0.281033,-0.525722
25,553.336,1535.66,507.111,1.65052,0.160737,-1.06761,-0.281033,-0.525722
26,553.112,1577.84,497.591,1.63332,0.160737,-1.06761,-0.281032,-0.525722
27,553.103,1620.1,487.126,1.61646,0.160737,-1.06761,-0.281034,-0.525722
28,553.236,1665.13,475.731,1.60363,0.160737,-1.06761,-0.281033,-0.525722
