Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,500,0,0,-1.5707963,0,0
1,0,300,500,0,0,-1.5707963,0,0
2,400,0,500,0,0,-1.5707963,0,0
3,0,0,800,0,0,-1.5707963,0,0
4,1845.62,350.856,623.2,4.68725,-0.264358,-1.46323,1.4557,-0.249969
5,1820.99,349.765,604.506,4.68741,-0.264358,-1.46319,1.45555,-0.249969
6,1771.88,342.181,582.797,4.69333,-0.264358,-1.46157,1.44987,-0.249969
7,1747.34,338.572,582.255,4.69333,-0.264358,-1.46157,1.44987,-0.249969
8,1722.85,333.888,588.871,4.69333,-0.264358,-1.46157,1.44987,-0.249969
9,1698.45,325.903,601.768,4.6974,-0.264358,-1.46045,1.44596,-0.249969
10,1649.81,310.253,639.253,4.70126,-0.264358,-1.45939,1.44226,-0.249969
11,1625.6,301.996,659.146,4.70317,-0.264358,-1.45886,1.44042,-0.249969
12,1601.46,294.996,676.481,4.70317,-0.264358,-1.45886,1.44042,-0.249969
13,1577.43,286.337,689.084,4.70699,-0.264358,-1.45781,1.43676,-0.249969
14,1529.62,273.699,694.406,4.71088,-0.264358,-1.45674,1.43303,-0.249969
15,1505.86,270.129,686.32,4.71076,-0.264358,-1.45677,1.43315,-0.249969
16,1482.2,266.388,671.985,4.71277,-0.264358,-1.45622,1.43122,-0.249969
17,1458.64,262.602,653.052,4.71647,-0.264358,-1.45519,1.42767,-0.249969
18,1411.8,259.893,610.53,4.71833,-0.264358,-1.45467,1.42589,-0.249969
19,1388.53,258.219,591.935,4.72016,-0.264358,-1.45417,1.42413,-0.249969
20,1365.34,256.128,578.114,4.72214,-0.264358,-1.45362,1.42224,-0.249969
21,1342.24,253.567,570.659,4.72381,-0.264358,-1.45315,1.42064,-0.249969
22,1296.26,245.369,577.253,4.72756,-0.264358,-1.4521,1.41703,-0.249969
23,1273.37,239.728,590.326,4.72935,-0.264358,-1.45161,1.41532,-0.249969
24,1250.56,234.106,607.938,4.72935,-0.264358,-1.45161,1.41532,-0.249969
25,1227.77,225.683,627.872,4.73286,-0.264358,-1.45062,1.41196,-0.249969
26,1182.31,209.509,664.687,4.73649,-0.264358,-1.44961,1.40849,-0.249969
27,1159.65,202.424,676.926,4.73663,-0.264358,-1.44957,1.40835,-0.249969
28,1136.99,194.948,682.764,4.73834,-0.264358,-1.44909,1.40671,-0.249969
29,1114.32,188.226,681.4,4.7401,-0.264358,-1.4486,1.40503,-0.249969
30,1068.99,178.817,658.217,4.74183,-0.264358,-1.44811,1.40336,-0.249969
31,1046.24,174.162,639.036,4.74541,-0.264358,-1.4471,1.39993,-0.249969
32,1023.45,170.588,617.582,4.74872,-0.264358,-1.44617,1.39677,-0.249969
33,1000.71,170.467,596.362,4.74713,-0.264358,-1.44661,1.39829,-0.249969
34,954.905,166.318,564.239,4.75224,-0.264358,-1.44517,1.3934,-0.249969
35,931.955,165.384,557.032,4.75224,-0.264358,-1.44517,1.3934,-0.249969
36,908.85,161.895,557.033,4.75561,-0.264358,-1.44421,1.39016,-0.249969
37,885.74,159.362,564.134,4.75574,-0.264358,-1.44418,1.39004,-0.249969
38,839.175,149.395,595.082,4.75909,-0.264358,-1.44323,1.38683,-0.249969
39,815.703,141.948,614.98,4.7624,-0.264358,-1.44229,1.38366,-0.249969
40,792.225,135.561,634.563,4.7624,-0.264358,-1.44229,1.38366,-0.249969
41,768.647,128.63,651.366,4.7624,-0.264358,-1.44229,1.38366,-0.249969
42,721.015,111.145,668.667,4.7683,-0.264358,-1.4406,1.37802,-0.249969
43,689.625,103.39,666.596,4.7683,-0.264358,-1.4406,1.37802,-0.249969
