SourceX,SourceY,SourceZ,qx,qy,qz,qw
0.30380543,-1.285351666,1.562863868,-0.710715,0.075881,0.074248,-0.695423
0.33611026,-1.283394798,1.588515394,-0.711046,0.072721,0.071156,-0.695746
0.36496365,-1.281555745,1.589934157,-0.711332,0.069862,0.068359,-0.696027
0.389670053,-1.279907823,1.563810882,-0.711633,0.066726,0.065291,-0.696321
0.411322518,-1.278516731,1.519925565,-0.711918,0.063613,0.062244,-0.6966
0.4322928,-1.277437926,1.476517492,-0.712181,0.060602,0.059298,-0.696857
0.455283878,-1.276714418,1.451699368,-0.712447,0.057381,0.056147,-0.697118
0.482140969,-1.27637505,1.45497393,-0.712672,0.054517,0.053344,-0.697338
0.513115205,-1.276433352,1.482716711,-0.712903,0.051418,0.050312,-0.697563
0.546748151,-1.276886999,1.519923631,-0.713112,0.048427,0.047385,-0.697768
0.580466476,-1.277717906,1.547250003,-0.713315,0.045342,0.044366,-0.697967
0.611683587,-1.278892948,1.55010099,-0.713506,0.042223,0.041314,-0.698154
0.638871042,-1.280365279,1.525513437,-0.713676,0.039248,0.038403,-0.69832
0.662213416,-1.282076201,1.483531838,-0.713846,0.036018,0.035243,-0.698487
0.683512879,-1.283957507,1.442501903,-0.71399,0.033055,0.032344,-0.698627
0.705440155,-1.285934193,1.420424634,-0.714126,0.029964,0.029319,-0.698761
0.730425678,-1.287927457,1.426512825,-0.714249,0.026872,0.026294,-0.698881
0.759597971,-1.289857832,1.456822839,-0.714359,0.023788,0.023277,-0.698988
0.792361248,-1.291648361,1.49615731,-0.714451,0.020832,0.020383,-0.699078
0.826599855,-1.293227662,1.525169758,-0.714534,0.017739,0.017357,-0.69916
0.859597677,-1.294532771,1.529476185,-0.714607,0.014519,0.014207,-0.699231
0.889161047,-1.295511659,1.506445395,-0.714661,0.011567,0.011318,-0.699284
0.914530122,-1.296125301,1.466398539,-0.714704,0.008481,0.008298,-0.699326
0.936731728,-1.296349233,1.427772566,-0.714734,0.005397,0.005281,-0.699355
0.958112278,-1.296174526,1.408456684,-0.714751,0.002313,0.002264,-0.699372
0.981360141,-1.295608147,1.417366142,-0.714754,-0.000771,-0.000754,-0.699375
1.008402284,-1.294672674,1.450254244,-0.714744,-0.003856,-0.003773,-0.699365
1.03954622,-1.293405403,1.49170964,-0.714721,-0.006939,-0.00679,-0.699342
1.073389544,-1.291856855,1.522404522,-0.714686,-0.009897,-0.009684,-0.699308
1.107388965,-1.290088767,1.528179798,-0.714634,-0.013107,-0.012825,-0.699258
1.138946431,-1.288171625,1.506716979,-0.714571,-0.016199,-0.01585,-0.699196
1.166459547,-1.286181861,1.468620952,-0.714501,-0.019022,-0.018612,-0.699128
1.190051208,-1.2841988,1.432414692,-0.714408,-0.022242,-0.021764,-0.699037
1.211464282,-1.282301501,1.415865557,-0.714301,-0.025463,-0.024915,-0.698931
1.233355376,-1.280565602,1.42760373,-0.714194,-0.0283,-0.027691,-0.698827
1.258176921,-1.27906031,1.463050655,-0.71406,-0.031498,-0.03082,-0.698696
1.287147113,-1.277845634,1.506615356,-0.713917,-0.0346,-0.033856,-0.698555
1.319720352,-1.27697,1.538979165,-0.713767,-0.037562,-0.036754,-0.698409
1.353837201,-1.276468318,1.546216894,-0.713597,-0.040664,-0.039789,-0.698243
1.386779383,-1.276360587,1.526323417,-0.713412,-0.043782,-0.04284,-0.698062
1.416306499,-1.276651102,1.490174364,-0.713225,-0.046741,-0.045735,-0.697878
1.44160493,-1.277328282,1.456393491,-0.713005,-0.049986,-0.04891,-0.697663
1.46362457,-1.278365129,1.442611288,-0.712788,-0.052977,-0.051837,-0.697452
1.484669856,-1.279720308,1.457155431,-0.712551,-0.056076,-0.054869,-0.69722
1.507447668,-1.281339791,1.495141799,-0.712301,-0.059171,-0.057898,-0.696975
1.533930398,-1.283159016,1.540789198,-0.712045,-0.062182,-0.060844,-0.696724
1.564496713,-1.285105456,1.57479856,-0.711766,-0.065296,-0.063891,-0.696451
1.597806212,-1.287101511,1.583477538,-0.711485,-0.068282,-0.066813,-0.696177
1.631347412,-1.289067606,1.565144938,-0.71119,-0.071292,-0.069758,-0.695888
1.662492612,-1.290925359,1.530929058,-0.710859,-0.074524,-0.072921,-0.695563
1.689601567,-1.292600706,1.499564169,-0.710718,-0.075854,-0.074222,-0.695426
