Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0,0,0,500,0,0,-1.5707963,1.5707963,0
1,0,300,500,0,0,-1.5707963,1.5707963,0
2,400,0,500,0,0,-1.5707963,1.5707963,0
3,0,0,800,0,0,-1.5707963,1.5707963,0
4,616.258,3.24581,599.364,0.950818,-0.146589,-1.41024,0.846877,-0.215906
5,632.311,30.2931,599.313,0.941922,-0.146589,-1.41024,0.846883,-0.215906
6,656.831,52.3048,599.372,0.933887,-0.146589,-1.41024,0.846878,-0.215906
7,682.629,68.3759,599.778,0.925066,-0.146589,-1.41024,0.846885,-0.215906
8,701.395,82.5366,600.719,0.916325,-0.146589,-1.41024,0.846878,-0.215906
9,707.483,99.6153,602.358,0.907864,-0.146589,-1.41024,0.846882,-0.215906
10,700.011,122.184,604.833,0.898822,-0.146589,-1.41024,0.846881,-0.215906
11,682.104,150.784,608.214,0.890785,-0.146589,-1.41024,0.846878,-0.215906
12,661.521,180.735,612.559,0.882082,-0.146589,-1.41024,0.846887,-0.215906
13,646.153,207.944,617.855,0.873697,-0.146589,-1.41024,0.846882,-0.215906
14,642.584,229.179,624.043,0.86505,-0.146589,-1.41024,0.846877,-0.215906
15,653.066,245.231,631.028,0.856307,-0.146589,-1.41024,0.846876,-0.215906
16,674.844,260.221,638.665,0.847967,-0.146589,-1.41024,0.846878,-0.215906
17,701.769,278.149,646.783,0.838918,-0.146589,-1.41024,0.846877,-0.215906
18,725.062,302.519,655.172,0.83061,-0.146589,-1.41024,0.846884,-0.215906
19,738.064,331.723,663.612,0.821961,-0.146589,-1.41024,0.846875,-0.215906
20,737.25,361.984,671.857,0.813298,-0.146589,-1.41024,0.84688,-0.215906
21,724.047,388.706,679.683,0.804656,-0.146589,-1.41024,0.846888,-0.215906
22,704.094,409.679,686.844,0.796388,-0.146589,-1.41024,0.846878,-0.215906
23,685.791,425.689,693.132,0.787733,-0.146589,-1.41024,0.846876,-0.215906
24,676.728,440.885,698.367,0.778714,-0.146589,-1.41024,0.846883,-0.215906
25,680.879,460.426,702.379,0.770456,-0.146589,-1.41024,0.846879,-0.215906
26,698.427,485.832,705.055,0.761822,-0.146589,-1.41024,0.846877,-0.215906
27,724.33,515.834,706.327,0.753187,-0.146589,-1.41024,0.846883,-0.215906
28,750.792,546.176,706.163,0.744556,-0.146589,-1.41024,0.846885,-0.215906
29,769.838,572.408,704.584,0.735928,-0.146589,-1.41024,0.846882,-0.215906
30,776.099,592.615,701.657,0.727297,-0.146589,-1.41024,0.846881,-0.215906
31,768.684,608.538,697.495,0.718669,-0.146589,-1.41024,0.846882,-0.215906
32,751.339,624.73,692.25,0.710391,-0.146589,-1.41024,0.846883,-0.215906
33,731.859,644.957,686.111,0.701413,-0.146589,-1.41024,0.846877,-0.215906
34,717.992,671.453,679.284,0.692755,-0.146589,-1.41024,0.846882,-0.215906
35,715.734,702.417,671.995,0.684854,-0.146589,-1.41024,0.846881,-0.215906
36,727.974,732.418,664.496,0.675848,-0.146589,-1.41024,0.846873,-0.215906
37,751.386,757.807,657.014,0.666818,-0.146589,-1.41024,0.846885,-0.215906
38,778.729,777.734,649.771,0.658879,-0.146589,-1.41024,0.846881,-0.215906
39,802.729,793.365,642.99,0.649922,-0.146589,-1.41024,0.846881,-0.215906
40,815.877,809.913,636.836,0.641231,-0.146589,-1.41024,0.846882,-0.215906
41,814.957,831.517,631.464,0.632935,-0.146589,-1.41024,0.84688,-0.215906
42,802.062,858.926,626.974,0.624242,-0.146589,-1.41024,0.846879,-0.215906
43,782.999,889.828,623.431,0.615503,-0.146589,-1.41024,0.846879,-0.215906
44,765.681,919.841,620.842,0.607199,-0.146589,-1.41024,0.846887,-0.215906
45,758.197,944.419,619.179,0.598099,-0.146589,-1.41024,0.846887,-0.215906
46,763.987,963.424,618.355,0.589717,-0.146589,-1.41024,0.846877,-0.215906
47,783.014,979.065,618.25,0.581017,-0.146589,-1.41024,0.84688,-0.215906
48,810.001,996.167,618.709,0.57233,-0.146589,-1.41024,0.846877,-0.215906
49,836.955,1018.62,619.521,0.563871,-0.146589,-1.41024,0.846882,-0.215906
50,856.244,1046.78,620.486,0.555122,-0.146589,-1.41024,0.846882,-0.215906
51,862.373,1078,621.359,0.546737,-0.146589,-1.41024,0.846875,-0.215906
52,854.958,1107.38,621.907,0.53827,-0.146589,-1.41024,0.846878,-0.215906
53,838.433,1131.06,621.905,0.529177,-0.146589,-1.41024,0.84688,-0.215906
54,817.065,1151.39,621.111,0.525437,-0.146589,-1.41024,0.846878,-0.215906
