SourceX,SourceY,SourceZ,qx,qy,qz,qw
0.495639183,-1.20949654,1.479530002,0.480701,0.552624,0.524998,0.433486
0.495023561,-1.191056575,1.48311008,0.480705,0.552621,0.525002,0.433481
0.490065736,-1.16229569,1.49006755,0.480877,0.552471,0.525137,0.433318
0.485272974,-1.150320512,1.493397766,0.480877,0.552471,0.525137,0.433318
0.479044632,-1.138598084,1.496584274,0.480877,0.552471,0.525137,0.433318
0.471749882,-1.126063844,1.499601531,0.480997,0.552367,0.525231,0.433204
0.456199796,-1.094752886,1.505059807,0.481112,0.552267,0.525321,0.433095
0.449171975,-1.0745497,1.50745413,0.481169,0.552217,0.525366,0.43304
0.443338979,-1.050809191,1.509601221,0.481169,0.552217,0.525366,0.43304
0.439008354,-1.023540337,1.511481173,0.481284,0.552116,0.525456,0.432931
0.434887334,-0.960000433,1.514413492,0.481403,0.552013,0.525549,0.432818
0.434525845,-0.925181832,1.51544985,0.481399,0.552016,0.525546,0.432822
0.434600492,-0.889610041,1.516187208,0.481461,0.551962,0.525594,0.432763
0.434496134,-0.85435089,1.516629944,0.481575,0.551862,0.525684,0.432654
0.431474197,-0.788801489,1.516649003,0.481633,0.551812,0.525729,0.432599
0.427808582,-0.760143189,1.516233923,0.48169,0.551762,0.525774,0.432544
0.422580989,-0.734915655,1.515551281,0.481752,0.551708,0.525823,0.432485
0.416009172,-0.713260696,1.514614892,0.481805,0.551662,0.525864,0.432435
0.400661732,-0.679655947,1.512043895,0.481924,0.551558,0.525958,0.432321
0.393089789,-0.666484587,1.510454164,0.481981,0.551508,0.526003,0.432267
0.386376735,-0.654551783,1.508690041,0.481981,0.551508,0.526003,0.432267
0.380970638,-0.642811766,1.506771396,0.482094,0.551409,0.526091,0.432159
0.374806714,-0.615725866,1.50259748,0.482212,0.551306,0.526183,0.432047
0.373794271,-0.59859021,1.5003986,0.482216,0.551302,0.526187,0.432042
0.373633958,-0.578199013,1.49815742,0.482272,0.551253,0.526231,0.431989
0.373735098,-0.554257514,1.495908776,0.48233,0.551203,0.526276,0.431934
0.372271618,-0.496160626,1.491513767,0.482387,0.551153,0.526321,0.431879
0.369716074,-0.462971477,1.489416503,0.482506,0.551049,0.526414,0.431766
0.365601578,-0.428083196,1.487434387,0.482616,0.550952,0.5265,0.43166
0.359957521,-0.392500559,1.485594916,0.482563,0.550999,0.526459,0.431711
0.345422537,-0.323486146,1.482417015,0.482735,0.550848,0.526593,0.431547
0.337600967,-0.291995842,1.481135925,0.482735,0.550848,0.526593,0.431547
0.330233933,-0.263520695,1.480081687,0.48285,0.550748,0.526683,0.431437
0.32387433,-0.238492617,1.479282727,0.482854,0.550744,0.526687,0.431433
0.315536555,-0.198954642,1.478491938,0.482969,0.550643,0.526776,0.431323
0.313655128,-0.183753173,1.478524096,0.483083,0.550543,0.526866,0.431214
0.312959344,-0.170677405,1.47885927,0.483083,0.550543,0.526866,0.431214
0.312949644,-0.158783665,1.479492302,0.483083,0.550543,0.526866,0.431214
0.312549636,-0.134333375,1.481671422,0.483289,0.550362,0.527027,0.431017
0.309764453,-0.112222517,1.483482272,0.483289,0.550362,0.527027,0.431017
