Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
0.000000 ,0.000000 ,0.000000 ,500.000000 ,0.000000 ,0.000000 ,-1.570796 ,0.000000 ,0.000000 
1.000000 ,0.000000 ,300.000000 ,500.000000 ,0.000000 ,0.000000 ,-1.570796 ,0.000000 ,0.000000 
2.000000 ,400.000000 ,0.000000 ,500.000000 ,0.000000 ,0.000000 ,-1.570796 ,0.000000 ,0.000000 
3.000000 ,0.000000 ,0.000000 ,800.000000 ,0.000000 ,0.000000 ,-1.570796 ,0.000000 ,0.000000 
4.000000 ,815.251000 ,67.278500 ,382.155000 ,1.049950 ,0.498225 ,-1.461980 ,-1.223520 ,-0.478489 
5.000000 ,768.558000 ,58.474300 ,380.925000 ,1.047750 ,0.498225 ,-1.460860 ,-1.221600 ,-0.478489 
6.000000 ,722.350000 ,48.843300 ,379.675000 ,1.043750 ,0.498225 ,-1.458800 ,-1.218110 ,-0.478489 
7.000000 ,1655.580000 ,89.503700 ,675.169000 ,5.114560 ,-0.305755 ,-1.303110 ,1.060130 ,-0.370524 
8.000000 ,1607.980000 ,80.984500 ,673.884000 ,5.116000 ,-0.305755 ,-1.302470 ,1.058810 ,-0.370524 
9.000000 ,1560.540000 ,72.844000 ,672.579000 ,5.116710 ,-0.305755 ,-1.302150 ,1.058150 ,-0.370524 
10.000000 ,1512.940000 ,64.330800 ,671.259000 ,5.118150 ,-0.305755 ,-1.301520 ,1.056830 ,-0.370524 
11.000000 ,1465.340000 ,55.828500 ,669.919000 ,5.119570 ,-0.305755 ,-1.300880 ,1.055530 ,-0.370524 
12.000000 ,1417.580000 ,46.936100 ,668.564000 ,5.121750 ,-0.305755 ,-1.299910 ,1.053520 ,-0.370524 
13.000000 ,1370.140000 ,38.809400 ,667.184000 ,5.122460 ,-0.305755 ,-1.299590 ,1.052870 ,-0.370524 
14.000000 ,1322.530000 ,30.290700 ,665.789000 ,5.123930 ,-0.305755 ,-1.298940 ,1.051520 ,-0.370524 
15.000000 ,1275.090000 ,22.173100 ,664.374000 ,5.124630 ,-0.305755 ,-1.298620 ,1.050870 ,-0.370524 
16.000000 ,1203.690000 ,9.461790 ,662.219000 ,5.126740 ,-0.305755 ,-1.297680 ,1.048940 ,-0.370524 
17.000000 ,1156.070000 ,0.963552 ,660.759000 ,5.128190 ,-0.305755 ,-1.297030 ,1.047610 ,-0.370524 
18.000000 ,1173.460000 ,206.864000 ,569.985000 ,4.736350 ,-0.066697 ,-1.484010 ,1.388040 ,-0.050375 
19.000000 ,1119.650000 ,304.373000 ,558.496000 ,4.554420 ,-0.040427 ,-1.497590 ,1.567060 ,-0.009209 
20.000000 ,1077.390000 ,197.517000 ,584.916000 ,4.725810 ,-0.113995 ,-1.476780 ,1.402760 ,-0.096632 
21.000000 ,1009.180000 ,64.583800 ,616.858000 ,4.946500 ,-0.202993 ,-1.409540 ,1.197580 ,-0.215622 
22.000000 ,961.629000 ,154.164000 ,667.722000 ,4.776270 ,-0.346051 ,-1.422360 ,1.381830 ,-0.335661 
23.000000 ,927.680000 ,183.572000 ,625.292000 ,4.709780 ,-0.234087 ,-1.461230 ,1.430720 ,-0.214642 
24.000000 ,880.402000 ,173.554000 ,623.703000 ,4.713790 ,-0.234087 ,-1.460240 ,1.426840 ,-0.214642 
25.000000 ,833.115000 ,163.646000 ,622.092000 ,4.717610 ,-0.234087 ,-1.459290 ,1.423140 ,-0.214642 
26.000000 ,785.819000 ,153.773000 ,620.463000 ,4.721380 ,-0.234087 ,-1.458360 ,1.419490 ,-0.214642 
27.000000 ,738.500000 ,142.765000 ,618.823000 ,4.727150 ,-0.234087 ,-1.456920 ,1.413920 ,-0.214642 
28.000000 ,683.697000 ,133.267000 ,616.883000 ,4.728110 ,-0.234087 ,-1.456680 ,1.413000 ,-0.214642 
