SourceX,SourceY,SourceZ,qx,qy,qz,qw
0.300565,-1.28635,1.52229,-0.710715,0.075881,0.074248,-0.695423
0.354995,-1.28635,1.510895,-0.711332,0.069862,0.068359,-0.696027
0.409615,-1.28635,1.50043,-0.711918,0.063613,0.062244,-0.6966
0.478125,-1.28635,1.488685,-0.712553,0.056056,0.054849,-0.697221
0.533105,-1.28635,1.480345,-0.713007,0.04995,0.048875,-0.697666
0.588225,-1.28635,1.47295,-0.713414,0.043751,0.042809,-0.698064
0.643465,-1.28635,1.466505,-0.713766,0.037576,0.036767,-0.698408
0.698805,-1.28635,1.461015,-0.714059,0.031521,0.030843,-0.698695
0.754235,-1.28635,1.45648,-0.714301,0.025463,0.024915,-0.698931
0.82361,-1.28635,1.45215,-0.714534,0.017739,0.017357,-0.69916
0.879175,-1.28635,1.449755,-0.714661,0.011567,0.011318,-0.699284
0.934765,-1.28635,1.44832,-0.714734,0.005397,0.005281,-0.699355
0.99037,-1.28635,1.44784,-0.714754,-0.000771,-0.000754,-0.699375
1.045985,-1.28635,1.44832,-0.714721,-0.006939,-0.00679,-0.699342
1.101575,-1.28635,1.449755,-0.714634,-0.013107,-0.012825,-0.699258
1.17102,-1.28635,1.45289,-0.714451,-0.020824,-0.020376,-0.699079
1.226515,-1.28635,1.45648,-0.714249,-0.026872,-0.026294,-0.698881
1.281945,-1.28635,1.461015,-0.713989,-0.033067,-0.032355,-0.698627
1.337285,-1.28635,1.466505,-0.713675,-0.039262,-0.038417,-0.698319
1.392515,-1.28635,1.47295,-0.713317,-0.045309,-0.044334,-0.697969
1.447635,-1.28635,1.480345,-0.712905,-0.051381,-0.050276,-0.697566
1.51634,-1.28635,1.49091,-0.712301,-0.059171,-0.057898,-0.696975
1.571135,-1.28635,1.50043,-0.711766,-0.065296,-0.063891,-0.696451
1.62575,-1.28635,1.510895,-0.71119,-0.071292,-0.069758,-0.695888
1.680185,-1.28635,1.52229,-0.710718,-0.075854,-0.074222,-0.695426
