SourceX,SourceY,SourceZ,qx,qy,qz,qw
0.491745,-1.25271,1.486535,0.480701,0.552624,0.524998,0.433486
0.48396,-1.20543,1.487765,0.480763,0.552571,0.525047,0.433427
0.47618,-1.15815,1.489015,0.480877,0.552471,0.525137,0.433318
0.4684,-1.11087,1.490275,0.480997,0.552367,0.525231,0.433204
0.460625,-1.06359,1.49156,0.481112,0.552267,0.525321,0.433095
0.452855,-1.01631,1.492865,0.481169,0.552217,0.525366,0.43304
0.445085,-0.96903,1.494185,0.481284,0.552116,0.525456,0.432931
0.43732,-0.92175,1.495525,0.481399,0.552016,0.525546,0.432822
0.429555,-0.87447,1.49688,0.481575,0.551862,0.525684,0.432654
0.421795,-0.82719,1.49826,0.481633,0.551812,0.525729,0.432599
0.414035,-0.77991,1.499655,0.481752,0.551708,0.525823,0.432485
0.40628,-0.73263,1.50107,0.481809,0.551658,0.525868,0.432431
0.394655,-0.66171,1.503225,0.481981,0.551508,0.526003,0.432267
0.386905,-0.61442,1.504685,0.4821,0.551404,0.526096,0.432153
0.37916,-0.567145,1.506165,0.482216,0.551302,0.526187,0.432042
0.37142,-0.51987,1.50766,0.48233,0.551203,0.526276,0.431934
0.36368,-0.47259,1.50918,0.482387,0.551153,0.526321,0.431879
0.355945,-0.42531,1.51071,0.482616,0.550952,0.5265,0.43166
0.34821,-0.37803,1.512265,0.482678,0.550898,0.526549,0.431601
0.34048,-0.33075,1.51384,0.482735,0.550848,0.526593,0.431547
0.33275,-0.28347,1.51543,0.482854,0.550744,0.526687,0.431433
0.325025,-0.23619,1.51704,0.482969,0.550643,0.526776,0.431323
0.317305,-0.18891,1.51867,0.483083,0.550543,0.526866,0.431214
0.309585,-0.14163,1.52031,0.483259,0.550388,0.527004,0.431045
0.300635,-0.086835,1.52225,0.483289,0.550362,0.527027,0.431017
