Timestamp(ms),Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),J1(rad),J2(rad),J3(rad),J4(rad),J5(rad),J6(rad),J7(rad),J8(rad),OffsetX(m),OffsetY(m),OffsetZ(m),OffsetRx(rad),OffsetRy(rad),OffsetRz(rad),TargetX(m),TargetY(m),TargetZ(m)
570,0,0,-22.328225,0,0,0,389.518005,128.018997,1080.89209,2.278023,1.039755,-0.98539,-1.117822,-1.133181,0,0,-1.244558,0,0,0,-61.539005,-1041.204486,-1762.61843
576,0,0,-22.328225,0,0,0,389.518005,128.018997,1080.89209,2.278023,1.039755,-0.98539,-1.117822,-1.133181,0,0,-1.244558,0,0,0,-49.831073,-1039.155071,-1762.468901
584,0,0,-22.784506,0,0,0,389.518005,128.018997,1080.89209,2.278023,1.039755,-0.98539,-1.117822,-1.133181,0,0,-1.393603,0,0,0,-38.365534,-1035.75226,-1762.09988
592,0,0,-22.784506,0,0,0,389.518005,128.018997,1080.89209,2.278023,1.039755,-0.98539,-1.117822,-1.133181,0,0,-1.393603,0,0,0,-26.659998,-1033.705376,-1761.945316
4324,0,0,-55.39318,0,0,0,445.574982,111.296997,1056.333008,2.300222,1.201645,-0.949333,-1.215131,-1.27456,0,0,-10,0,0,0,-16.219769,-1024.495651,-1760.657907
4331,0,0,-55.39318,0,0,0,445.574982,111.296997,1056.333008,2.300222,1.201645,-0.949333,-1.215131,-1.27456,0,0,-10,0,0,0,-4.511734,-1022.448741,-1760.503381
5967,0,0,-46.150578,0,0,0,440.108978,134.901001,1055.516968,2.300244,1.202951,-0.948932,-1.21581,-1.275586,0,0,-7.912645,0,0,0,7.19384,-1020.40186,-1760.346317
5975,0,0,-46.150578,0,0,0,440.108978,134.901001,1055.516968,2.300244,1.202951,-0.948932,-1.21581,-1.275586,0,0,-7.912645,0,0,0,18.899414,-1018.354978,-1760.189253
7639,0,0,-25.671864,0,0,0,425.213013,179.557007,1053.846924,2.300244,1.202951,-0.948932,-1.21581,-1.275626,0,0,-2.792966,0,0,0,30.604924,-1016.305594,-1760.034686
7646,0,0,-25.671864,0,0,0,425.213013,179.557007,1053.846924,2.300244,1.202951,-0.948932,-1.21581,-1.275626,0,0,-2.792966,0,0,0,42.310433,-1014.25621,-1759.880119
7665,0,0,-25.671864,0,0,0,425.213013,179.557007,1053.846924,2.300244,1.202951,-0.948932,-1.21581,-1.275626,0,0,-2.792966,0,0,0,54.018545,-1012.209305,-1759.720594
7672,0,0,-25.671864,0,0,0,425.213013,179.557007,1053.846924,2.300244,1.202951,-0.948932,-1.21581,-1.275626,0,0,-2.792966,0,0,0,65.726658,-1010.1624,-1759.561069
9647,0,0,-23.739213,0,0,0,417.01001,226.447006,1053.218018,2.300244,1.202951,-0.948932,-1.21581,-1.274975,0,0,-2.309803,0,0,0,77.432308,-1008.115524,-1759.399005
9656,0,0,-23.739213,0,0,0,417.01001,226.447006,1053.218018,2.300244,1.202951,-0.948932,-1.21581,-1.274975,0,0,-2.309803,0,0,0,89.137959,-1006.068647,-1759.236942
9676,0,0,-23.739213,0,0,0,417.01001,226.447006,1053.218018,2.300244,1.202951,-0.948932,-1.21581,-1.274975,0,0,-2.309803,0,0,0,100.843533,-1004.021766,-1759.079878
9685,0,0,-23.739213,0,0,0,417.01001,226.447006,1053.218018,2.300244,1.202951,-0.948932,-1.21581,-1.274975,0,0,-2.309803,0,0,0,112.549107,-1001.974884,-1758.922814
11651,0,0,-24.166022,0,0,0,408.843994,273.151001,1052.581055,2.300244,1.202951,-0.948932,-1.21581,-1.274773,0,0,-2.416506,0,0,0,124.254797,-999.92801,-1758.758251
11659,0,0,-24.166022,0,0,0,408.843994,273.151001,1052.581055,2.300244,1.202951,-0.948932,-1.21581,-1.274773,0,0,-2.416506,0,0,0,135.960486,-997.881136,-1758.593688
11681,0,0,-24.166022,0,0,0,408.843994,273.151001,1052.581055,2.300244,1.202951,-0.948932,-1.21581,-1.274773,0,0,-2.416506,0,0,0,147.666125,-995.836757,-1758.434127
11689,0,0,-24.166022,0,0,0,408.843994,273.151001,1052.581055,2.300244,1.202951,-0.948932,-1.21581,-1.274773,0,0,-2.416506,0,0,0,159.371763,-993.792378,-1758.274567
13657,0,0,-21.027783,0,0,0,400.643005,320.072998,1051.932007,2.300244,1.202951,-0.948932,-1.21581,-1.274563,0,0,-1.631946,0,0,0,171.08249,-991.745454,-1758.107581
13664,0,0,-21.027783,0,0,0,400.643005,320.072998,1051.932007,2.300244,1.202951,-0.948932,-1.21581,-1.274563,0,0,-1.631946,0,0,0,182.793217,-989.69853,-1757.940595
13685,0,0,-21.027783,0,0,0,400.643005,320.072998,1051.932007,2.300244,1.202951,-0.948932,-1.21581,-1.274563,0,0,-1.631946,0,0,0,194.498868,-987.651654,-1757.778531
13693,0,0,-21.027783,0,0,0,400.643005,320.072998,1051.932007,2.300244,1.202951,-0.948932,-1.21581,-1.274563,0,0,-1.631946,0,0,0,206.204519,-985.604777,-1757.616468
15678,0,0,-23.246451,0,0,0,392.466003,366.84201,1051.274048,2.300244,1.202951,-0.948932,-1.21581,-1.27453,0,0,-2.186613,0,0,0,217.910273,-983.560406,-1757.449408
15688,0,0,-23.246451,0,0,0,392.466003,366.84201,1051.274048,2.300244,1.202951,-0.948932,-1.21581,-1.27453,0,0,-2.186613,0,0,0,229.616026,-981.516034,-1757.282348
15709,0,0,-23.408135,0,0,0,392.466003,366.84201,1051.274048,2.300244,1.202951,-0.948932,-1.21581,-1.27453,0,0,-2.227034,0,0,0,241.32178,-979.471662,-1757.115289
15718,0,0,-23.408135,0,0,0,392.466003,366.84201,1051.274048,2.300244,1.202951,-0.948932,-1.21581,-1.27453,0,0,-2.227034,0,0,0,253.027534,-977.427291,-1756.948229
16946,0,0,-21.554709,0,0,0,388.301025,390.955017,1050.927002,2.300244,1.202951,-0.948932,-1.21581,-1.274513,0,0,-1.763677,0,0,0,264.7333,-975.380422,-1756.778666
16954,0,0,-21.554709,0,0,0,388.301025,390.955017,1050.927002,2.300244,1.202951,-0.948932,-1.21581,-1.274513,0,0,-1.763677,0,0,0,276.439067,-973.333553,-1756.609104
18212,0,0,-17.75672,0,0,0,380.181,437.152008,1050.265991,2.300244,1.202951,-0.948932,-1.21581,-1.27435,0,0,-0.77646,0,0,0,288.147332,-971.286657,-1756.43958
18220,0,0,-17.75672,0,0,0,380.181,437.152008,1050.265991,2.300244,1.202951,-0.948932,-1.21581,-1.27435,0,0,-0.77646,0,0,0,299.855598,-969.239762,-1756.270056
18241,0,0,-17.75672,0,0,0,380.181,437.152008,1050.265991,2.300244,1.202951,-0.948932,-1.21581,-1.27435,0,0,-0.738929,0,0,0,311.561391,-967.195393,-1756.100496
18252,0,0,-17.75672,0,0,0,380.181,437.152008,1050.265991,2.300244,1.202951,-0.948932,-1.21581,-1.27435,0,0,-0.738929,0,0,0,323.267183,-965.151024,-1755.930937
20227,0,0,-16.655829,0,0,0,372.015015,483.884003,1049.588989,2.300244,1.202951,-0.948932,-1.21581,-1.273907,0,0,-0.411225,0,0,0,334.975552,-963.106634,-1755.756416
20237,0,0,-16.655829,0,0,0,372.015015,483.884003,1049.588989,2.300244,1.202951,-0.948932,-1.21581,-1.273907,0,0,-0.411225,0,0,0,346.68392,-961.062244,-1755.581896
20260,0,0,-17.084546,0,0,0,372.015015,483.884003,1049.588989,2.300244,1.202951,-0.948932,-1.21581,-1.273907,0,0,-0.47208,0,0,0,358.389751,-959.017877,-1755.409837
20269,0,0,-17.084546,0,0,0,372.015015,483.884003,1049.588989,2.300244,1.202951,-0.948932,-1.21581,-1.273907,0,0,-0.47208,0,0,0,370.095582,-956.97351,-1755.237777
21743,0,0,-17.219258,0,0,0,365.868988,519.257996,1049.062012,2.300244,1.202951,-0.948932,-1.21581,-1.273996,0,0,-0.461518,0,0,0,381.801451,-954.929146,-1755.063218
21752,0,0,-17.219258,0,0,0,365.868988,519.257996,1049.062012,2.300244,1.202951,-0.948932,-1.21581,-1.273996,0,0,-0.461518,0,0,0,393.50732,-952.884782,-1754.888659
22363,0,0,-17.083192,0,0,0,361.643982,543.47998,1048.703003,2.300244,1.202951,-0.948932,-1.21581,-1.273902,0,0,-0.381612,0,0,0,405.215689,-950.840392,-1754.714139
22373,0,0,-17.083192,0,0,0,361.643982,543.47998,1048.703003,2.300244,1.202951,-0.948932,-1.21581,-1.273902,0,0,-0.381612,0,0,0,416.924058,-948.796001,-1754.539618
23463,0,0,-13.460769,0,0,0,355.654968,577.579956,1048.197998,2.300244,1.202951,-0.948932,-1.21581,-1.273665,0,0,0.619462,0,0,0,428.736671,-947.356855,-1754.457889
23474,0,0,-13.460769,0,0,0,355.654968,577.579956,1048.197998,2.300244,1.202951,-0.948932,-1.21581,-1.273665,0,0,0.619462,0,0,0,440.442605,-945.314993,-1754.280833
23496,0,0,-13.460769,0,0,0,355.654968,577.579956,1048.197998,2.300244,1.202951,-0.948932,-1.21581,-1.273665,0,0,0.714454,0,0,0,452.271524,-943.96327,-1754.213716
23506,0,0,-13.460769,0,0,0,355.654968,577.579956,1048.197998,2.300244,1.202951,-0.948932,-1.21581,-1.273665,0,0,0.714454,0,0,0,463.977406,-941.916409,-1754.036655
25451,0,0,-18.050582,0,0,0,348.804016,624.462036,1047.697021,2.300244,1.202951,-0.948932,-1.21581,-1.27349,0,0,-0.401593,0,0,0,475.614192,-939.481313,-1753.795297
25460,0,0,-18.050582,0,0,0,348.804016,624.462036,1047.697021,2.300244,1.202951,-0.948932,-1.21581,-1.27349,0,0,-0.401593,0,0,0,487.320138,-937.436954,-1753.615738
