X,Y,Z
-2450,450,0
-2450,0,0
-2800,0,0
-2800,450,0
-2475,375,2200
-2775,375,2200
-2775,75,2200
-2475,75,2200
350,-3250,0
350,-3700,0
0,-3700,0
0,-3250,0
325,-3325,2200
25,-3325,2200
25,-3625,2200
325,-3625,2200
-2450,-3250,0
-2450,-3700,0
-2800,-3700,0
-2800,-3250,0
-2475,-3325,2200
-2775,-3325,2200
-2775,-3625,2200
-2475,-3625,2200
350,450,0
350,0,0
0,0,0
0,450,0
325,375,2200
25,375,2200
25,75,2200
325,75,2200
325,375,2200
25,375,2200
25,-3625,2200
325,-3625,2200
25,375,2365
25,-3625,2365
325,-3625,2365
325,375,2365
-2475,375,2200
-2775,375,2200
-2775,-3625,2200
-2475,-3625,2200
-2775,375,2365
-2775,-3625,2365
-2475,-3625,2365
-2475,375,2365
69.48,-3412.74,1863.02
69.48,-3412.74,1763.02
69.48,-3512.74,1763.02
69.48,-3512.74,1863.02
-2500.52,-3512.74,1863.02
-2500.52,-3512.74,1763.02
-2500.52,-3412.74,1763.02
-2500.52,-3412.74,1863.02
225,-723.7,2205
125,-723.7,2205
225,115,2205
125,115,2205
225,115,1720.77
125,115,1720.77
225,-723.7,1720.77
125,-723.7,1720.77
125,-3365,2205
225,-3365,2205
125,-3365,1720.77
225,-3365,1720.77
225,-2526.3,2205
125,-2526.3,2205
225,-2526.3,1720.77
125,-2526.3,1720.77
-2575,-723.7,2205
-2675,-723.7,2205
-2575,115,2205
-2675,115,2205
-2575,115,1720.77
-2675,115,1720.77
-2575,-723.7,1720.77
-2675,-723.7,1720.77
-2675,-3365,2205
-2575,-3365,2205
-2675,-3365,1720.77
-2575,-3365,1720.77
-2575,-2526.3,2205
-2675,-2526.3,2205
-2575,-2526.3,1720.77
-2675,-2526.3,1720.77
