Type,SourceX,SourceY,SourceZ,SegmentID
Parametric,-990.37,490.91,-1285.35,-1
Parametric,-1612.75,557.39,-1571.97,-1
Parametric,-1508.97,541.41,-2201.97,-1
Parametric,-990.37,490.91,-2485.35,-1
Parametric,-471.78,541.41,-2201.97,-1
Parametric,-368,557.39,-1571.97,-1
Parametric,-1626.06,700.22,-1295.35,0
Parametric,-1678.93,441.39,-1285.35,0
Parametric,-354.54,700.25,-1295.35,0
Parametric,-301.82,441.39,-1285.35,0
Parametric,-547.66,664.32,-2475.35,0
Parametric,-498.52,404.63,-2485.35,0
Parametric,-1432.94,664.3,-2475.35,0
Parametric,-1482.24,404.59,-2485.35,0
Parametric,-299.31,403.19,-1287.35,1
Parametric,-312.92,400.26,-1287.35,1
Parametric,-326.55,397.38,-1287.35,1
Parametric,-340.19,394.57,-1287.35,1
Parametric,-353.85,391.82,-1287.35,1
Parametric,-367.51,389.12,-1287.35,1
Parametric,-381.18,386.48,-1287.35,1
Parametric,-394.87,383.9,-1287.35,1
Parametric,-408.57,381.38,-1287.35,1
Parametric,-422.28,378.92,-1287.35,1
Parametric,-435.99,376.51,-1287.35,1
Parametric,-449.72,374.17,-1287.35,1
Parametric,-463.46,371.88,-1287.35,1
Parametric,-477.21,369.66,-1287.35,1
Parametric,-490.97,367.49,-1287.35,1
Parametric,-504.73,365.38,-1287.35,1
Parametric,-518.51,363.33,-1287.35,1
Parametric,-532.29,361.34,-1287.35,1
Parametric,-546.09,359.4,-1287.35,1
Parametric,-559.89,357.53,-1287.35,1
Parametric,-573.7,355.72,-1287.35,1
Parametric,-587.51,353.96,-1287.35,1
Parametric,-601.34,352.27,-1287.35,1
Parametric,-615.17,350.63,-1287.35,1
Parametric,-629.01,349.05,-1287.35,1
Parametric,-642.85,347.53,-1287.35,1
Parametric,-656.7,346.07,-1287.35,1
Parametric,-670.56,344.68,-1287.35,1
Parametric,-684.42,343.34,-1287.35,1
Parametric,-698.29,342.05,-1287.35,1
Parametric,-712.16,340.83,-1287.35,1
Parametric,-726.04,339.67,-1287.35,1
Parametric,-739.93,338.57,-1287.35,1
Parametric,-753.82,337.53,-1287.35,1
Parametric,-767.71,336.54,-1287.35,1
Parametric,-781.6,335.62,-1287.35,1
Parametric,-795.51,334.76,-1287.35,1
Parametric,-809.41,333.95,-1287.35,1
Parametric,-823.32,333.21,-1287.35,1
Parametric,-837.23,332.52,-1287.35,1
Parametric,-851.14,331.89,-1287.35,1
Parametric,-865.06,331.33,-1287.35,1
Parametric,-878.98,330.82,-1287.35,1
Parametric,-892.9,330.37,-1287.35,1
Parametric,-906.82,329.99,-1287.35,1
Parametric,-920.74,329.66,-1287.35,1
Parametric,-934.67,329.39,-1287.35,1
Parametric,-948.59,329.18,-1287.35,1
Parametric,-962.52,329.03,-1287.35,1
Parametric,-976.45,328.94,-1287.35,1
Parametric,-990.37,328.91,-1287.35,1
Parametric,-1004.3,328.94,-1287.35,1
Parametric,-1018.23,329.03,-1287.35,1
Parametric,-1032.15,329.18,-1287.35,1
Parametric,-1046.08,329.39,-1287.35,1
Parametric,-1060.01,329.66,-1287.35,1
Parametric,-1073.93,329.99,-1287.35,1
Parametric,-1087.85,330.37,-1287.35,1
Parametric,-1101.77,330.82,-1287.35,1
Parametric,-1115.69,331.33,-1287.35,1
Parametric,-1129.61,331.89,-1287.35,1
Parametric,-1143.52,332.52,-1287.35,1
Parametric,-1157.43,333.21,-1287.35,1
Parametric,-1171.34,333.95,-1287.35,1
Parametric,-1185.24,334.76,-1287.35,1
Parametric,-1199.14,335.62,-1287.35,1
Parametric,-1213.04,336.54,-1287.35,1
Parametric,-1226.93,337.53,-1287.35,1
Parametric,-1240.82,338.57,-1287.35,1
Parametric,-1254.7,339.67,-1287.35,1
Parametric,-1268.58,340.83,-1287.35,1
Parametric,-1282.46,342.05,-1287.35,1
Parametric,-1296.32,343.34,-1287.35,1
Parametric,-1310.19,344.68,-1287.35,1
Parametric,-1324.04,346.07,-1287.35,1
Parametric,-1337.9,347.53,-1287.35,1
Parametric,-1351.74,349.05,-1287.35,1
Parametric,-1365.58,350.63,-1287.35,1
Parametric,-1379.41,352.27,-1287.35,1
Parametric,-1393.23,353.96,-1287.35,1
Parametric,-1407.05,355.72,-1287.35,1
Parametric,-1420.86,357.53,-1287.35,1
Parametric,-1434.66,359.4,-1287.35,1
Parametric,-1448.45,361.34,-1287.35,1
Parametric,-1462.24,363.33,-1287.35,1
Parametric,-1476.01,365.38,-1287.35,1
Parametric,-1489.78,367.49,-1287.35,1
Parametric,-1503.54,369.66,-1287.35,1
Parametric,-1517.28,371.88,-1287.35,1
Parametric,-1531.02,374.17,-1287.35,1
Parametric,-1544.75,376.51,-1287.35,1
Parametric,-1558.47,378.92,-1287.35,1
Parametric,-1572.18,381.38,-1287.35,1
Parametric,-1585.88,383.9,-1287.35,1
Parametric,-1599.56,386.48,-1287.35,1
Parametric,-1613.24,389.12,-1287.35,1
Parametric,-1626.9,391.82,-1287.35,1
Parametric,-1640.55,394.57,-1287.35,1
Parametric,-1654.19,397.38,-1287.35,1
Parametric,-1667.82,400.26,-1287.35,1
Parametric,-1681.44,403.19,-1287.35,1
Parametric,-301.82,441.39,-1285.35,2
Parametric,-315.38,438.45,-1285.35,2
Parametric,-328.95,435.56,-1285.35,2
Parametric,-342.54,432.74,-1285.35,2
Parametric,-356.14,429.97,-1285.35,2
Parametric,-369.75,427.26,-1285.35,2
Parametric,-383.38,424.61,-1285.35,2
Parametric,-397.01,422.02,-1285.35,2
Parametric,-410.66,419.48,-1285.35,2
Parametric,-424.31,417.01,-1285.35,2
Parametric,-437.98,414.6,-1285.35,2
Parametric,-451.66,412.24,-1285.35,2
Parametric,-465.35,409.94,-1285.35,2
Parametric,-479.04,407.71,-1285.35,2
Parametric,-492.75,405.53,-1285.35,2
Parametric,-506.47,403.41,-1285.35,2
Parametric,-520.19,401.35,-1285.35,2
Parametric,-533.92,399.35,-1285.35,2
Parametric,-547.67,397.41,-1285.35,2
Parametric,-561.42,395.52,-1285.35,2
Parametric,-575.18,393.7,-1285.35,2
Parametric,-588.94,391.94,-1285.35,2
Parametric,-602.72,390.23,-1285.35,2
Parametric,-616.5,388.59,-1285.35,2
Parametric,-630.28,387.01,-1285.35,2
Parametric,-644.08,385.48,-1285.35,2
Parametric,-657.88,384.02,-1285.35,2
Parametric,-671.69,382.61,-1285.35,2
Parametric,-685.5,381.26,-1285.35,2
Parametric,-699.32,379.98,-1285.35,2
Parametric,-713.14,378.75,-1285.35,2
Parametric,-726.97,377.58,-1285.35,2
Parametric,-740.81,376.48,-1285.35,2
Parametric,-754.65,375.43,-1285.35,2
Parametric,-768.49,374.44,-1285.35,2
Parametric,-782.34,373.51,-1285.35,2
Parametric,-796.19,372.64,-1285.35,2
Parametric,-810.04,371.83,-1285.35,2
Parametric,-823.9,371.09,-1285.35,2
Parametric,-837.76,370.4,-1285.35,2
Parametric,-851.63,369.77,-1285.35,2
Parametric,-865.5,369.2,-1285.35,2
Parametric,-879.37,368.69,-1285.35,2
Parametric,-893.24,368.24,-1285.35,2
Parametric,-907.11,367.85,-1285.35,2
Parametric,-920.99,367.52,-1285.35,2
Parametric,-934.86,367.25,-1285.35,2
Parametric,-948.74,367.04,-1285.35,2
Parametric,-962.62,366.89,-1285.35,2
Parametric,-976.49,366.8,-1285.35,2
Parametric,-990.37,366.77,-1285.35,2
Parametric,-1004.25,366.8,-1285.35,2
Parametric,-1018.13,366.89,-1285.35,2
Parametric,-1032.01,367.04,-1285.35,2
Parametric,-1045.89,367.25,-1285.35,2
Parametric,-1059.76,367.52,-1285.35,2
Parametric,-1073.64,367.85,-1285.35,2
Parametric,-1087.51,368.24,-1285.35,2
Parametric,-1101.38,368.69,-1285.35,2
Parametric,-1115.25,369.2,-1285.35,2
Parametric,-1129.12,369.77,-1285.35,2
Parametric,-1142.98,370.4,-1285.35,2
Parametric,-1156.84,371.09,-1285.35,2
Parametric,-1170.7,371.83,-1285.35,2
Parametric,-1184.56,372.64,-1285.35,2
Parametric,-1198.41,373.51,-1285.35,2
Parametric,-1212.26,374.44,-1285.35,2
Parametric,-1226.1,375.43,-1285.35,2
Parametric,-1239.94,376.48,-1285.35,2
Parametric,-1253.77,377.58,-1285.35,2
Parametric,-1267.6,378.75,-1285.35,2
Parametric,-1281.43,379.98,-1285.35,2
Parametric,-1295.25,381.26,-1285.35,2
Parametric,-1309.06,382.61,-1285.35,2
Parametric,-1322.87,384.02,-1285.35,2
Parametric,-1336.67,385.48,-1285.35,2
Parametric,-1350.46,387.01,-1285.35,2
Parametric,-1364.25,388.59,-1285.35,2
Parametric,-1378.03,390.23,-1285.35,2
Parametric,-1391.8,391.94,-1285.35,2
Parametric,-1405.57,393.7,-1285.35,2
Parametric,-1419.33,395.52,-1285.35,2
Parametric,-1433.08,397.41,-1285.35,2
Parametric,-1446.82,399.35,-1285.35,2
Parametric,-1460.56,401.35,-1285.35,2
Parametric,-1474.28,403.41,-1285.35,2
Parametric,-1488,405.53,-1285.35,2
Parametric,-1501.7,407.71,-1285.35,2
Parametric,-1515.4,409.94,-1285.35,2
Parametric,-1529.09,412.24,-1285.35,2
Parametric,-1542.77,414.6,-1285.35,2
Parametric,-1556.43,417.01,-1285.35,2
Parametric,-1570.09,419.48,-1285.35,2
Parametric,-1583.73,422.02,-1285.35,2
Parametric,-1597.37,424.61,-1285.35,2
Parametric,-1610.99,427.26,-1285.35,2
Parametric,-1624.6,429.97,-1285.35,2
Parametric,-1638.2,432.74,-1285.35,2
Parametric,-1651.79,435.56,-1285.35,2
Parametric,-1665.37,438.45,-1285.35,2
Parametric,-1678.93,441.39,-1285.35,2
Parametric,-1678.96,441.2,-1285.35,3
Parametric,-1673.73,440.06,-1317.41,3
Parametric,-1669.85,439.23,-1341.16,3
Parametric,-1665.97,438.39,-1364.96,3
Parametric,-1662.09,437.57,-1388.72,3
Parametric,-1658.21,436.75,-1412.47,3
Parametric,-1654.33,435.93,-1436.19,3
Parametric,-1650.47,435.13,-1459.86,3
Parametric,-1646.6,434.32,-1483.52,3
Parametric,-1642.74,433.52,-1507.15,3
Parametric,-1638.88,432.73,-1530.79,3
Parametric,-1635.02,431.94,-1554.41,3
Parametric,-1631.15,431.16,-1578.02,3
Parametric,-1627.29,430.38,-1601.66,3
Parametric,-1623.42,429.61,-1625.28,3
Parametric,-1619.55,428.84,-1648.92,3
Parametric,-1615.69,428.07,-1672.57,3
Parametric,-1611.82,427.31,-1696.21,3
Parametric,-1607.94,426.56,-1719.86,3
Parametric,-1604.07,425.8,-1743.51,3
