Type,SourceX,SourceY,SourceZ,SegmentID
D,647.19,-1150,672.52,0
D,610.78,-1150,436.29,0
D,1951.59,-1150,672.25,0
D,1987.89,-1150,436,0
D,1754.87,-2350,635.65,0
D,1791.2,-2350,399.25,0
D,843.89,-2350,635.84,0
D,807.46,-2350,399.49,0
P,616.6,-1159,398.56,1
P,629.92,-1159,395.72,1
P,643.26,-1159,392.94,1
P,656.6,-1159,390.22,1
P,669.96,-1159,387.55,1
P,683.33,-1159,384.93,1
P,696.7,-1159,382.38,1
P,710.09,-1159,379.88,1
P,723.49,-1159,377.43,1
P,736.9,-1159,375.04,1
P,750.32,-1159,372.71,1
P,763.75,-1159,370.44,1
P,777.19,-1159,368.22,1
P,790.64,-1159,366.05,1
P,804.1,-1159,363.95,1
P,817.56,-1159,361.9,1
P,831.04,-1159,359.9,1
P,844.52,-1159,357.97,1
P,858.01,-1159,356.09,1
P,871.51,-1159,354.26,1
P,885.01,-1159,352.49,1
P,898.53,-1159,350.78,1
P,912.05,-1159,349.13,1
P,925.57,-1159,347.53,1
P,939.11,-1159,345.99,1
P,952.65,-1159,344.51,1
P,966.19,-1159,343.08,1
P,979.74,-1159,341.71,1
P,993.3,-1159,340.39,1
P,1006.86,-1159,339.14,1
P,1020.43,-1159,337.94,1
P,1034,-1159,336.79,1
P,1047.58,-1159,335.71,1
P,1061.16,-1159,334.68,1
P,1074.75,-1159,333.7,1
P,1088.34,-1159,332.79,1
P,1101.93,-1159,331.93,1
P,1115.53,-1159,331.13,1
P,1129.13,-1159,330.38,1
P,1142.73,-1159,329.7,1
P,1156.34,-1159,329.07,1
P,1169.95,-1159,328.49,1
P,1183.56,-1159,327.98,1
P,1197.17,-1159,327.52,1
P,1210.79,-1159,327.11,1
P,1224.41,-1159,326.77,1
P,1238.02,-1159,326.48,1
P,1251.64,-1159,326.25,1
P,1265.26,-1159,326.07,1
P,1278.88,-1159,325.96,1
P,1292.5,-1159,325.9,1
P,1306.12,-1159,325.89,1
P,1319.74,-1159,325.95,1
P,1333.36,-1159,326.06,1
P,1346.98,-1159,326.23,1
P,1360.6,-1159,326.45,1
P,1374.22,-1159,326.74,1
P,1387.84,-1159,327.08,1
P,1401.45,-1159,327.47,1
P,1415.07,-1159,327.93,1
P,1428.68,-1159,328.44,1
P,1442.29,-1159,329,1
P,1455.89,-1159,329.63,1
P,1469.5,-1159,330.31,1
