Type,SourceX,SourceY,SourceZ,SegmentID
D,647.19,-1150,672.52,0
D,610.78,-1150,436.29,0
D,1951.59,-1150,672.25,0
D,1987.89,-1150,436,0
D,1754.87,-2350,635.65,0
D,1791.2,-2350,399.25,0
D,843.89,-2350,635.84,0
D,807.46,-2350,399.49,0
P,608.26,-1152,398.09,1
P,621.74,-1152,395.18,1
P,635.24,-1152,392.34,1
P,648.74,-1152,389.55,1
P,662.26,-1152,386.81,1
P,675.78,-1152,384.14,1
P,689.32,-1152,381.52,1
P,702.87,-1152,378.96,1
P,716.43,-1152,376.46,1
P,730,-1152,374.01,1
P,743.59,-1152,371.62,1
P,757.18,-1152,369.29,1
P,770.78,-1152,367.02,1
P,784.39,-1152,364.8,1
P,798.01,-1152,362.65,1
P,811.64,-1152,360.55,1
P,825.27,-1152,358.5,1
P,838.92,-1152,356.52,1
P,852.57,-1152,354.59,1
P,866.24,-1152,352.73,1
P,879.91,-1152,350.92,1
P,893.59,-1152,349.16,1
P,907.27,-1152,347.47,1
P,920.96,-1152,345.83,1
P,934.66,-1152,344.25,1
P,948.37,-1152,342.73,1
P,962.08,-1152,341.27,1
P,975.8,-1152,339.87,1
P,989.52,-1152,338.52,1
P,1003.25,-1152,337.24,1
P,1016.98,-1152,336.01,1
P,1030.72,-1152,334.84,1
P,1044.47,-1152,333.72,1
P,1058.22,-1152,332.67,1
P,1071.97,-1152,331.67,1
P,1085.73,-1152,330.73,1
P,1099.49,-1152,329.86,1
P,1113.26,-1152,329.03,1
P,1127.02,-1152,328.27,1
P,1140.8,-1152,327.57,1
P,1154.57,-1152,326.92,1
P,1168.35,-1152,326.33,1
P,1182.13,-1152,325.8,1
P,1195.91,-1152,325.33,1
P,1209.69,-1152,324.92,1
P,1223.48,-1152,324.57,1
P,1237.26,-1152,324.27,1
P,1251.05,-1152,324.04,1
P,1264.84,-1152,323.86,1
P,1278.63,-1152,323.74,1
P,1292.42,-1152,323.68,1
P,1306.21,-1152,323.67,1
P,1320,-1152,323.73,1
P,1333.79,-1152,323.84,1
P,1347.57,-1152,324.02,1
P,1361.36,-1152,324.25,1
P,1375.15,-1152,324.54,1
P,1388.93,-1152,324.88,1
P,1402.72,-1152,325.29,1
P,1416.5,-1152,325.76,1
P,1430.28,-1152,326.28,1
P,1444.06,-1152,326.86,1
P,1457.83,-1152,327.5,1
P,1471.6,-1152,328.2,1
