Type,SourceX,SourceY,SourceZ,SegmentID
Parametric,-990.37,490.91,-1285.35,-1
Parametric,-1612.75,557.39,-1571.97,-1
Parametric,-1508.97,541.41,-2201.97,-1
Parametric,-990.37,490.91,-2485.35,-1
Parametric,-471.78,541.41,-2201.97,-1
Parametric,-368,557.39,-1571.97,-1
Parametric,-354.54,700.25,-1295.35,0
Parametric,-301.82,441.39,-1285.35,0
Parametric,-1626.06,700.22,-1295.35,0
Parametric,-1678.93,441.39,-1285.35,0
Parametric,-1432.94,664.3,-2475.35,0
Parametric,-1482.24,404.59,-2485.35,0
Parametric,-547.66,664.32,-2475.35,0
Parametric,-498.52,404.63,-2485.35,0
Parametric,-345.2,678.38,-1290.35,3
Parametric,-357.86,675.59,-1290.35,3
Parametric,-370.57,672.85,-1290.35,3
Parametric,-383.3,670.17,-1290.35,3
Parametric,-396.04,667.54,-1290.35,3
Parametric,-408.79,664.97,-1290.35,3
Parametric,-421.56,662.45,-1290.35,3
Parametric,-434.33,659.99,-1290.35,3
Parametric,-447.11,657.59,-1290.35,3
Parametric,-459.91,655.24,-1290.35,3
Parametric,-472.71,652.95,-1290.35,3
Parametric,-485.52,650.71,-1290.35,3
Parametric,-498.35,648.53,-1290.35,3
Parametric,-511.18,646.4,-1290.35,3
Parametric,-524.02,644.34,-1290.35,3
Parametric,-536.87,642.32,-1290.35,3
Parametric,-549.73,640.37,-1290.35,3
Parametric,-562.6,638.47,-1290.35,3
Parametric,-575.48,636.62,-1290.35,3
Parametric,-588.36,634.84,-1290.35,3
Parametric,-601.26,633.11,-1290.35,3
Parametric,-614.16,631.43,-1290.35,3
Parametric,-627.06,629.82,-1290.35,3
Parametric,-639.98,628.25,-1290.35,3
Parametric,-652.9,626.75,-1290.35,3
Parametric,-665.82,625.3,-1290.35,3
Parametric,-678.76,623.91,-1290.35,3
Parametric,-691.7,622.58,-1290.35,3
Parametric,-704.64,621.3,-1290.35,3
Parametric,-717.59,620.08,-1290.35,3
Parametric,-730.55,618.91,-1290.35,3
Parametric,-743.51,617.8,-1290.35,3
Parametric,-756.47,616.75,-1290.35,3
Parametric,-769.44,615.76,-1290.35,3
Parametric,-782.42,614.82,-1290.35,3
Parametric,-795.4,613.94,-1290.35,3
Parametric,-808.38,613.11,-1290.35,3
Parametric,-821.36,612.34,-1290.35,3
Parametric,-834.35,611.63,-1290.35,3
Parametric,-847.34,610.98,-1290.35,3
Parametric,-860.34,610.38,-1290.35,3
Parametric,-873.33,609.84,-1290.35,3
Parametric,-886.33,609.36,-1290.35,3
Parametric,-899.33,608.93,-1290.35,3
Parametric,-912.33,608.56,-1290.35,3
Parametric,-925.34,608.25,-1290.35,3
Parametric,-938.34,607.99,-1290.35,3
Parametric,-951.35,607.79,-1290.35,3
Parametric,-964.36,607.65,-1290.35,3
Parametric,-977.37,607.56,-1290.35,3
Parametric,-990.37,607.54,-1290.35,3
Parametric,-1003.38,607.56,-1290.35,3
Parametric,-1016.39,607.65,-1290.35,3
Parametric,-1029.4,607.79,-1290.35,3
Parametric,-1042.4,607.99,-1290.35,3
Parametric,-1055.41,608.25,-1290.35,3
Parametric,-1068.41,608.56,-1290.35,3
Parametric,-1081.41,608.93,-1290.35,3
Parametric,-1094.41,609.36,-1290.35,3
Parametric,-1107.41,609.84,-1290.35,3
Parametric,-1120.41,610.38,-1290.35,3
Parametric,-1133.4,610.98,-1290.35,3
Parametric,-1146.4,611.63,-1290.35,3
Parametric,-1159.38,612.34,-1290.35,3
Parametric,-1172.37,613.11,-1290.35,3
Parametric,-1185.35,613.94,-1290.35,3
Parametric,-1198.33,614.82,-1290.35,3
Parametric,-1211.3,615.76,-1290.35,3
Parametric,-1224.27,616.75,-1290.35,3
Parametric,-1237.24,617.8,-1290.35,3
Parametric,-1250.2,618.91,-1290.35,3
Parametric,-1263.15,620.08,-1290.35,3
Parametric,-1276.1,621.3,-1290.35,3
Parametric,-1289.05,622.58,-1290.35,3
Parametric,-1301.99,623.91,-1290.35,3
Parametric,-1314.92,625.3,-1290.35,3
Parametric,-1327.85,626.75,-1290.35,3
Parametric,-1340.77,628.25,-1290.35,3
Parametric,-1353.68,629.82,-1290.35,3
Parametric,-1366.59,631.43,-1290.35,3
Parametric,-1379.49,633.11,-1290.35,3
Parametric,-1392.38,634.84,-1290.35,3
Parametric,-1405.27,636.62,-1290.35,3
Parametric,-1418.14,638.47,-1290.35,3
Parametric,-1431.01,640.37,-1290.35,3
Parametric,-1443.87,642.32,-1290.35,3
Parametric,-1456.72,644.34,-1290.35,3
Parametric,-1469.57,646.4,-1290.35,3
Parametric,-1482.4,648.53,-1290.35,3
Parametric,-1495.22,650.71,-1290.35,3
Parametric,-1508.04,652.95,-1290.35,3
Parametric,-1520.84,655.24,-1290.35,3
Parametric,-1533.63,657.59,-1290.35,3
Parametric,-1546.42,659.99,-1290.35,3
Parametric,-1559.19,662.45,-1290.35,3
Parametric,-1571.95,664.97,-1290.35,3
Parametric,-1584.7,667.54,-1290.35,3
Parametric,-1597.44,670.17,-1290.35,3
Parametric,-1610.17,672.85,-1290.35,3
Parametric,-1622.89,675.59,-1290.35,3
Parametric,-1635.54,678.38,-1290.35,3
Parametric,-348.15,696.54,-1290.35,4
Parametric,-360.79,693.76,-1290.35,4
Parametric,-373.45,691.03,-1290.35,4
Parametric,-386.11,688.35,-1290.35,4
Parametric,-398.79,685.73,-1290.35,4
Parametric,-411.48,683.17,-1290.35,4
Parametric,-424.19,680.66,-1290.35,4
Parametric,-436.9,678.21,-1290.35,4
Parametric,-449.62,675.81,-1290.35,4
Parametric,-462.35,673.47,-1290.35,4
Parametric,-475.1,671.18,-1290.35,4
Parametric,-487.85,668.95,-1290.35,4
Parametric,-500.62,666.78,-1290.35,4
Parametric,-513.39,664.66,-1290.35,4
Parametric,-526.17,662.6,-1290.35,4
Parametric,-538.96,660.59,-1290.35,4
Parametric,-551.76,658.64,-1290.35,4
Parametric,-564.57,656.75,-1290.35,4
Parametric,-577.38,654.91,-1290.35,4
Parametric,-590.21,653.13,-1290.35,4
Parametric,-603.04,651.41,-1290.35,4
Parametric,-615.88,649.74,-1290.35,4
Parametric,-628.72,648.13,-1290.35,4
Parametric,-641.58,646.57,-1290.35,4
Parametric,-654.44,645.07,-1290.35,4
Parametric,-667.3,643.63,-1290.35,4
Parametric,-680.18,642.24,-1290.35,4
Parametric,-693.05,640.91,-1290.35,4
Parametric,-705.94,639.63,-1290.35,4
Parametric,-718.83,638.41,-1290.35,4
Parametric,-731.72,637.25,-1290.35,4
Parametric,-744.62,636.15,-1290.35,4
Parametric,-757.53,635.1,-1290.35,4
Parametric,-770.44,634.11,-1290.35,4
Parametric,-783.35,633.17,-1290.35,4
Parametric,-796.27,632.29,-1290.35,4
Parametric,-809.19,631.47,-1290.35,4
Parametric,-822.11,630.71,-1290.35,4
Parametric,-835.04,630,-1290.35,4
Parametric,-847.97,629.34,-1290.35,4
Parametric,-860.9,628.75,-1290.35,4
Parametric,-873.84,628.21,-1290.35,4
Parametric,-886.78,627.73,-1290.35,4
Parametric,-899.72,627.3,-1290.35,4
Parametric,-912.66,626.93,-1290.35,4
Parametric,-925.6,626.62,-1290.35,4
Parametric,-938.55,626.37,-1290.35,4
Parametric,-951.49,626.17,-1290.35,4
Parametric,-964.44,626.03,-1290.35,4
Parametric,-977.38,625.94,-1290.35,4
Parametric,-990.33,625.91,-1290.35,4
Parametric,-1003.28,625.94,-1290.35,4
Parametric,-1016.23,626.02,-1290.35,4
Parametric,-1029.17,626.17,-1290.35,4
Parametric,-1042.12,626.36,-1290.35,4
Parametric,-1055.06,626.62,-1290.35,4
Parametric,-1068.01,626.93,-1290.35,4
Parametric,-1080.95,627.3,-1290.35,4
Parametric,-1093.89,627.73,-1290.35,4
Parametric,-1106.82,628.21,-1290.35,4
Parametric,-1119.76,628.75,-1290.35,4
Parametric,-1132.69,629.34,-1290.35,4
Parametric,-1145.62,629.99,-1290.35,4
Parametric,-1158.55,630.7,-1290.35,4
Parametric,-1171.48,631.47,-1290.35,4
Parametric,-1184.4,632.29,-1290.35,4
Parametric,-1197.31,633.17,-1290.35,4
Parametric,-1210.23,634.1,-1290.35,4
Parametric,-1223.14,635.09,-1290.35,4
Parametric,-1236.04,636.14,-1290.35,4
Parametric,-1248.94,637.25,-1290.35,4
Parametric,-1261.84,638.41,-1290.35,4
Parametric,-1274.73,639.62,-1290.35,4
Parametric,-1287.61,640.9,-1290.35,4
Parametric,-1300.49,642.23,-1290.35,4
Parametric,-1313.36,643.62,-1290.35,4
Parametric,-1326.23,645.06,-1290.35,4
Parametric,-1339.09,646.56,-1290.35,4
Parametric,-1351.94,648.12,-1290.35,4
Parametric,-1364.79,649.73,-1290.35,4
Parametric,-1377.63,651.4,-1290.35,4
Parametric,-1390.46,653.12,-1290.35,4
Parametric,-1403.28,654.9,-1290.35,4
Parametric,-1416.1,656.74,-1290.35,4
Parametric,-1428.9,658.63,-1290.35,4
Parametric,-1441.7,660.58,-1290.35,4
Parametric,-1454.5,662.59,-1290.35,4
Parametric,-1467.28,664.65,-1290.35,4
Parametric,-1480.05,666.77,-1290.35,4
Parametric,-1492.81,668.94,-1290.35,4
Parametric,-1505.57,671.17,-1290.35,4
Parametric,-1518.31,673.45,-1290.35,4
Parametric,-1531.04,675.8,-1290.35,4
Parametric,-1543.77,678.19,-1290.35,4
Parametric,-1556.48,680.64,-1290.35,4
Parametric,-1569.18,683.15,-1290.35,4
Parametric,-1581.87,685.72,-1290.35,4
Parametric,-1594.55,688.34,-1290.35,4
Parametric,-1607.22,691.01,-1290.35,4
Parametric,-1619.87,693.74,-1290.35,4
Parametric,-1632.52,696.53,-1290.35,4
Parametric,-1632.78,696.35,-1290.35,5
Parametric,-1628.9,695.49,-1314.15,5
Parametric,-1625.01,694.64,-1337.95,5
Parametric,-1621.13,693.8,-1361.74,5
Parametric,-1617.25,692.96,-1385.54,5
Parametric,-1613.36,692.13,-1409.34,5
Parametric,-1609.48,691.3,-1433.14,5
Parametric,-1605.59,690.48,-1456.93,5
Parametric,-1601.7,689.66,-1480.73,5
Parametric,-1597.82,688.84,-1504.53,5
Parametric,-1593.93,688.04,-1528.33,5
Parametric,-1590.04,687.23,-1552.13,5
Parametric,-1586.15,686.44,-1575.92,5
Parametric,-1582.26,685.65,-1599.72,5
Parametric,-1578.37,684.86,-1623.52,5
Parametric,-1574.47,684.08,-1647.32,5
Parametric,-1570.58,683.3,-1671.12,5
Parametric,-1566.68,682.53,-1694.91,5
Parametric,-1562.79,681.77,-1718.71,5
Parametric,-1558.89,681.01,-1742.51,5
Parametric,-1555,680.25,-1766.31,5
